n,kafka_median,redis_median,n_kafka,n_redis,U,p,rank_biserial,p_holm,significant
1,0.9992,1.0061,18,18,39.0,0.00010201726170492101,0.7592592592592593,0.00010201726170492101,True
5,1.0009,1.1972,15,15,0.0,3.2664188567159326e-06,1.0,6.532837713431865e-06,True
10,1.002,1.34625,30,30,0.0,2.995340313113173e-11,1.0,8.98602093933952e-11,True
