n,kafka_median,redis_median,n_kafka,n_redis,U,p,rank_biserial,p_holm,significant
1,0.2864177517346105,0.1674892682809064,3,3,7.0,0.4,-0.5555555555555556,0.4,False
5,0.5540003347592197,15.754818450742963,15,15,0.0,3.391821390825095e-06,1.0,6.78364278165019e-06,True
10,45.493512112253065,268.20253024424414,30,30,0.0,3.019859359162157e-11,1.0,9.059578077486472e-11,True
20,0.0,1013.5413271138987,50,60,0.0,6.956859912419121e-21,1.0,2.7827439649676485e-20,True
