n,kafka_median,redis_median,n_kafka,n_redis,U,p,rank_biserial,p_holm,significant
1,0.01274016566797905,0.01308161120271345,18,18,193.0,0.3345561838743112,-0.191358024691358,0.6691123677486224,False
5,0.0153678399655378,0.0136063774616146,15,15,134.0,0.38373262766250305,-0.191111111111111,0.6691123677486224,False
10,0.010604636102080948,0.01266514148260055,30,30,366.0,0.2170168245486217,0.18666666666666665,0.6510504736458651,False
