n,kafka_median,redis_median,n_kafka,n_redis,U,p,rank_biserial,p_holm,significant
1,19.8497,13.358917,3,3,5.0,1.0,-0.11111111111111116,1.0,False
5,28.694867,540.952584,15,15,0.0,3.391821390825095e-06,1.0,1.0175464172475284e-05,True
10,2751.077409,23609.881542000003,30,30,0.0,3.019859359162157e-11,1.0,1.2079437436648628e-10,True
20,14356.462767,84857.70495875,3,60,0.0,5.036387902596258e-05,1.0,0.00010072775805192516,True
