t_wall_ns,pid,on_cpu_ns,wait_ns,slices,n_threads,schedstats_enabled
1784998758214992663,346466,7275356,34889316,6,1,1
1784998758214992663,346473,6642236,109259131,6,1,1
1784998758214992663,346476,1158154476,1249391302,9118,1,1
1784998758214992663,346479,1351676679,82215030,369,2,1
1784998758214992663,346480,1098632042,1249466420,8618,1,1
1784998758214992663,346481,6836257,7970478,5,1,1
1784998758214992663,346486,6587284,14793846,5,1,1
1784998758214992663,346488,7029207,27204247,4,1,1
1784998758214992663,346492,1526150995,171442171,344,2,1
1784998758214992663,346493,1083312246,1451377052,8161,1,1
1784998758214992663,346496,1610722312,137032551,386,2,1
1784998758214992663,346497,7718139,55529436,7,1,1
1784998758214992663,346499,8489491,157997903,30,1,1
1784998758214992663,346501,1061581098,1350409773,8245,1,1
1784998758214992663,346508,1378930921,242547450,311,2,1
1784998758214992663,346509,8763707,25393231,20,1,1
1784998758214992663,346511,1024083615,1326201998,7649,1,1
1784998758214992663,346516,9276112,986189080,204,1,1
1784998758214992663,346517,9015007,112934244,157,1,1
1784998758214992663,346518,8906438,763656763,163,1,1
1784998758214992663,346520,9119904,16738924,109,1,1
1784998758214992663,346521,1090966025,518252735,287,13,1
1784998758214992663,346522,1076908041,2308342434,143,13,1
1784998758214992663,346536,7472629,9596982,49,1,1
1784998758214992663,346537,982473397,1369948417,80,13,1
1784998758214992663,346557,1056742689,668480787,77,13,1
1784998758214992663,346572,8556006,33723460,74,1,1
1784998758214992663,346573,7103297,48953180,88,1,1
1784998758214992663,346574,1067074437,852255409,86,13,1
1784998758214992663,346576,1079445395,1043116145,31,9,1
1784998758214992663,346578,10776334,420564693,127,1,1
1784998758214992663,346579,8623678,415905719,112,1,1
1784998758214992663,346580,1122313313,505334118,39,9,1
1784998758214992663,346614,9097348,245836991,59,1,1
1784998758214992663,346615,1183783551,862633983,39,9,1
1784998758214992663,346616,1099627345,716145372,37,9,1
1784998758214992663,346617,1132146303,498084589,34,9,1
1784998758740832606,346450,7367895,37070079,4,1,1
1784998758740832606,346457,1752720891,68311390,418,2,1
1784998758740832606,346463,7144070,12007976,5,1,1
1784998758740832606,346466,7275356,34889316,6,1,1
1784998758740832606,346473,6642236,109259131,6,1,1
1784998758740832606,346476,1332926106,1249436991,10929,1,1
1784998758740832606,346479,1353128555,82215030,386,2,1
1784998758740832606,346480,1279464168,1249541254,10245,1,1
1784998758740832606,346481,6836257,7970478,5,1,1
1784998758740832606,346486,6587284,14793846,5,1,1
1784998758740832606,346488,7029207,27204247,4,1,1
1784998758740832606,346492,1530320400,171448130,378,2,1
1784998758740832606,346493,1236141033,1451430251,10053,1,1
1784998758740832606,346496,1612192638,137032551,399,2,1
1784998758740832606,346497,7718139,55529436,7,1,1
1784998758740832606,346499,8489491,157997903,30,1,1
1784998758740832606,346501,1218169428,1350463052,10066,1,1
1784998758740832606,346508,1380981505,242547450,328,2,1
1784998758740832606,346509,8763707,25393231,20,1,1
1784998758740832606,346511,1196485879,1326325465,9339,1,1
1784998758740832606,346516,9276112,986189080,204,1,1
1784998758740832606,346517,9015007,112934244,157,1,1
1784998758740832606,346518,8906438,763656763,163,1,1
1784998758740832606,346520,9119904,16738924,109,1,1
1784998758740832606,346521,1091756821,518252735,296,13,1
1784998758740832606,346522,1076908041,2308342434,143,13,1
1784998758740832606,346536,7472629,9596982,49,1,1
1784998758740832606,346537,982473397,1369948417,80,13,1
1784998758740832606,346557,1056742689,668480787,77,13,1
1784998758740832606,346572,8556006,33723460,74,1,1
1784998758740832606,346573,7103297,48953180,88,1,1
1784998758740832606,346574,1067958333,852255409,92,13,1
1784998758740832606,346576,1081524876,1043116145,35,9,1
1784998758740832606,346578,10776334,420564693,127,1,1
1784998758740832606,346579,8623678,415905719,112,1,1
1784998758740832606,346580,1122313313,505334118,39,9,1
1784998758740832606,346614,9097348,245836991,59,1,1
1784998758740832606,346615,1183783551,862633983,39,9,1
1784998758740832606,346616,1099627345,716145372,37,9,1
1784998758740832606,346617,1134629388,498084589,38,9,1
1784998759272279299,346450,7367895,37070079,4,1,1
1784998759272279299,346457,1754777903,68311390,444,2,1
1784998759272279299,346463,7144070,12007976,5,1,1
1784998759272279299,346466,7275356,34889316,6,1,1
1784998759272279299,346473,6642236,109259131,6,1,1
1784998759272279299,346476,1519773995,1249472184,12702,1,1
1784998759272279299,346479,1355316838,82215030,400,2,1
1784998759272279299,346480,1458738164,1249634311,11910,1,1
1784998759272279299,346481,6836257,7970478,5,1,1
1784998759272279299,346486,6587284,14793846,5,1,1
1784998759272279299,346488,7029207,27204247,4,1,1
1784998759272279299,346492,1531942994,171448130,392,2,1
1784998759272279299,346493,1386181561,1451447576,11988,1,1
1784998759272279299,346496,1615725909,137039802,430,2,1
1784998759272279299,346497,7718139,55529436,7,1,1
1784998759272279299,346499,8489491,157997903,30,1,1
1784998759272279299,346501,1376191231,1350521780,11885,1,1
1784998759272279299,346508,1382405631,242547450,343,2,1
1784998759272279299,346509,8763707,25393231,20,1,1
1784998759272279299,346511,1367672665,1326412427,11054,1,1
1784998759272279299,346516,9276112,986189080,204,1,1
1784998759272279299,346517,9015007,112934244,157,1,1
1784998759272279299,346518,8906438,763656763,163,1,1
1784998759272279299,346520,9119904,16738924,109,1,1
1784998759272279299,346521,1091756821,518252735,296,13,1
1784998759272279299,346522,1076908041,2308342434,143,13,1
1784998759272279299,346536,7472629,9596982,49,1,1
1784998759272279299,346537,983173758,1369948417,86,13,1
1784998759272279299,346557,1058005202,668484823,94,13,1
1784998759272279299,346572,8556006,33723460,74,1,1
1784998759272279299,346573,7103297,48953180,88,1,1
1784998759272279299,346574,1067958333,852255409,92,13,1
1784998759272279299,346576,1081524876,1043116145,35,9,1
1784998759272279299,346578,10776334,420564693,127,1,1
1784998759272279299,346579,8623678,415905719,112,1,1
1784998759272279299,346580,1124633974,505334118,43,9,1
1784998759272279299,346614,9097348,245836991,59,1,1
1784998759272279299,346615,1186181669,862633983,43,9,1
1784998759272279299,346616,1099627345,716145372,37,9,1
1784998759272279299,346617,1134629388,498084589,38,9,1
1784998759802663570,346450,7367895,37070079,4,1,1
1784998759802663570,346457,1761931909,68311390,476,2,1
1784998759802663570,346463,7144070,12007976,5,1,1
1784998759802663570,346466,7275356,34889316,6,1,1
1784998759802663570,346473,6642236,109259131,6,1,1
1784998759802663570,346476,1685277627,1249544702,14557,1,1
1784998759802663570,346479,1361849611,82215030,435,2,1
1784998759802663570,346480,1516051772,1249652989,12581,1,1
1784998759802663570,346481,6836257,7970478,5,1,1
1784998759802663570,346486,6587284,14793846,5,1,1
1784998759802663570,346488,7029207,27204247,4,1,1
1784998759802663570,346492,1540016303,171448130,426,2,1
1784998759802663570,346493,1525067401,1451466024,13691,1,1
1784998759802663570,346496,1622679078,137039802,460,2,1
1784998759802663570,346497,7718139,55529436,7,1,1
1784998759802663570,346499,8489491,157997903,30,1,1
1784998759802663570,346501,1445623669,1350556381,12502,1,1
1784998759802663570,346508,1389194004,242547450,375,2,1
1784998759802663570,346509,8763707,25393231,20,1,1
1784998759802663570,346511,1520687469,1326496775,12822,1,1
1784998759802663570,346516,9276112,986189080,204,1,1
1784998759802663570,346517,9015007,112934244,157,1,1
1784998759802663570,346518,8906438,763656763,163,1,1
1784998759802663570,346520,9119904,16738924,109,1,1
1784998759802663570,346521,1091756821,518252735,296,13,1
1784998759802663570,346522,1076908041,2308342434,143,13,1
1784998759802663570,346536,7472629,9596982,49,1,1
1784998759802663570,346537,983173758,1369948417,86,13,1
1784998759802663570,346557,1058005202,668484823,94,13,1
1784998759802663570,346572,8556006,33723460,74,1,1
1784998759802663570,346573,7103297,48953180,88,1,1
1784998759802663570,346574,1067958333,852255409,92,13,1
1784998759802663570,346576,1081524876,1043116145,35,9,1
1784998759802663570,346578,10776334,420564693,127,1,1
1784998759802663570,346579,8623678,415905719,112,1,1
