run,backend,n_produced,n_consumed,n_matched,tti_p50_ms,tti_p95_ms,tti_p99_ms,tti_max_ms,transport_p50_ms,transport_p95_ms,transport_p99_ms,transport_max_ms
s1_kafka_20251230_161223,kafka,572,572,572,2.9945579999999996,7.35389274999999,100.94756937999995,124.315229,1.8088195,2.55600695,2.92543448,116.008173
s1_redis_20251230_162131,redis,572,572,572,1.046139,2.6847133,3.9768763899999904,8.06843,0.668608,1.0441674499999998,1.2101563899999999,3.590981
