run,n_corrections,n_base_events,n_base_events_with_corrections,correction_propagation_latency_ms,inconsistency_duration_ms,correction_planned_to_consume_latency_ms
s3_s2_redis_rep5_20260612,89,4465,89,"{'p50': 717.946, 'p95': 1846.6895599999998, 'p99': 1943.646344, 'max': 1962.772, 'mean': 773.2008584269662, 'std': 661.5523804559285, 'min': 0.4915, 'count': 89}","{'p50': 717.946, 'p95': 1846.6895599999998, 'p99': 1943.646344, 'max': 1962.772, 'mean': 773.2008584269662, 'std': 661.5523804559285, 'min': 0.4915, 'count': 89}","{'p50': 2065.616412, 'p95': 2627.3979384, 'p99': 2752.12522496, 'max': 2781.743678, 'mean': 2155.589706966292, 'std': 194.94995117321696, 'min': 2022.9219, 'count': 89}"
s3_s2sf12_kafka_rep1_20260612,89,4465,89,"{'p50': 2.7755, 'p95': 1244.9231399999994, 'p99': 1633.8319920000006, 'max': 1738.2432, 'mean': 166.46845056179774, 'std': 408.1928609645163, 'min': 2.0688, 'count': 89}","{'p50': 2.7755, 'p95': 1244.9231399999994, 'p99': 1633.8319920000006, 'max': 1738.2432, 'mean': 166.46845056179774, 'std': 408.1928609645163, 'min': 2.0688, 'count': 89}","{'p50': 4883.894012, 'p95': 8693.5441984, 'p99': 9076.736896960001, 'max': 9175.534878, 'mean': 4997.28934741573, 'std': 2344.0588174295626, 'min': 2016.137645, 'count': 89}"
s3_s2sf12_redis_rep1_20260612,89,4465,89,"{'p50': 861.311, 'p95': 1852.7094399999999, 'p99': 1946.3496440000001, 'max': 1971.0127, 'mean': 885.9596269662923, 'std': 615.6919971382334, 'min': 0.84, 'count': 89}","{'p50': 861.311, 'p95': 1852.7094399999999, 'p99': 1946.3496440000001, 'max': 1971.0127, 'mean': 885.9596269662923, 'std': 615.6919971382334, 'min': 0.84, 'count': 89}","{'p50': 2031.662323, 'p95': 2141.4064983999997, 'p99': 2225.83940896, 'max': 2247.190878, 'mean': 2043.6824777528088, 'std': 41.60669110802771, 'min': 2015.449045, 'count': 89}"
s3_s2sf12_kafka_rep2_20260612,89,4465,89,"{'p50': 2.6641, 'p95': 1440.3611999999994, 'p99': 1725.0829480000002, 'max': 1802.3693, 'mean': 229.7128269662921, 'std': 477.50656888661456, 'min': 1.6387, 'count': 89}","{'p50': 2.6641, 'p95': 1440.3611999999994, 'p99': 1725.0829480000002, 'max': 1802.3693, 'mean': 229.7128269662921, 'std': 477.50656888661456, 'min': 1.6387, 'count': 89}","{'p50': 4156.957812, 'p95': 7876.7957983999995, 'p99': 8217.844584960001, 'max': 8306.689678, 'mean': 4429.933494606741, 'std': 2097.4699062288123, 'min': 2008.675856, 'count': 89}"
s3_s2sf12_redis_rep2_20260612,89,4465,89,"{'p50': 836.722, 'p95': 1849.6929799999998, 'p99': 1952.916144, 'max': 1979.766, 'mean': 859.3132674157304, 'std': 628.9648073970918, 'min': 0.4405, 'count': 89}","{'p50': 836.722, 'p95': 1849.6929799999998, 'p99': 1952.916144, 'max': 1979.766, 'mean': 859.3132674157304, 'std': 628.9648073970918, 'min': 0.4405, 'count': 89}","{'p50': 2039.515889, 'p95': 2224.4481984, 'p99': 2317.91074096, 'max': 2344.545378, 'mean': 2060.0707339325845, 'std': 64.27675781945413, 'min': 2023.031145, 'count': 89}"
s3_s2sf12_kafka_rep3_20260612,89,4465,89,"{'p50': 2.8011, 'p95': 1365.3288999999995, 'p99': 1693.3661320000003, 'max': 1764.1301, 'mean': 206.6976617977528, 'std': 451.5716362255663, 'min': 1.9677, 'count': 89}","{'p50': 2.8011, 'p95': 1365.3288999999995, 'p99': 1693.3661320000003, 'max': 1764.1301, 'mean': 206.6976617977528, 'std': 451.5716362255663, 'min': 1.9677, 'count': 89}","{'p50': 4360.623912, 'p95': 8316.2505384, 'p99': 8664.23702496, 'max': 8758.187878, 'mean': 4625.50145752809, 'std': 2221.2845455266192, 'min': 2025.9005, 'count': 89}"
s3_s2sf12_redis_rep3_20260612,89,4465,89,"{'p50': 682.6247, 'p95': 1824.5799399999999, 'p99': 1930.5612680000002, 'max': 1958.9227, 'mean': 755.5035831460674, 'std': 653.9338517533906, 'min': 0.5301, 'count': 89}","{'p50': 682.6247, 'p95': 1824.5799399999999, 'p99': 1930.5612680000002, 'max': 1958.9227, 'mean': 755.5035831460674, 'std': 653.9338517533906, 'min': 0.5301, 'count': 89}","{'p50': 2041.582367, 'p95': 2570.8663984, 'p99': 2683.14508896, 'max': 2711.434478, 'mean': 2123.0415035955057, 'std': 178.40106883179334, 'min': 2022.158145, 'count': 89}"
s3_s2sf12_kafka_rep4_20260612,89,4465,89,"{'p50': 2.2143, 'p95': 1462.5780199999997, 'p99': 1728.4801840000002, 'max': 1792.6064, 'mean': 259.6571988764045, 'std': 494.77936581556776, 'min': 1.4145, 'count': 89}","{'p50': 2.2143, 'p95': 1462.5780199999997, 'p99': 1728.4801840000002, 'max': 1792.6064, 'mean': 259.6571988764045, 'std': 494.77936581556776, 'min': 1.4145, 'count': 89}","{'p50': 3388.202512, 'p95': 6266.6116384, 'p99': 6509.902968960001, 'max': 6569.761478, 'mean': 3677.4032316853927, 'std': 1540.6693065419413, 'min': 2011.703656, 'count': 89}"
s3_s2sf12_redis_rep4_20260612,89,4465,89,"{'p50': 881.6592, 'p95': 1850.70398, 'p99': 1942.1718680000001, 'max': 1966.0849, 'mean': 892.7585056179774, 'std': 615.7431825346716, 'min': 0.4581, 'count': 89}","{'p50': 881.6592, 'p95': 1850.70398, 'p99': 1942.1718680000001, 'max': 1966.0849, 'mean': 892.7585056179774, 'std': 615.7431825346716, 'min': 0.4581, 'count': 89}","{'p50': 2040.637645, 'p95': 2126.3948984, 'p99': 2207.22127296, 'max': 2229.041078, 'mean': 2049.4942226966295, 'std': 35.64711970581497, 'min': 2019.737856, 'count': 89}"
s3_s2sf12_kafka_rep5_20260612,89,4465,89,"{'p50': 2.43, 'p95': 1397.4500399999995, 'p99': 1735.7037720000003, 'max': 1788.6121, 'mean': 220.05251123595505, 'std': 465.6120827527274, 'min': 1.5968, 'count': 89}","{'p50': 2.43, 'p95': 1397.4500399999995, 'p99': 1735.7037720000003, 'max': 1788.6121, 'mean': 220.05251123595505, 'std': 465.6120827527274, 'min': 1.5968, 'count': 89}","{'p50': 3896.079912, 'p95': 7431.187478399999, 'p99': 7742.151004960001, 'max': 7827.780578, 'mean': 4190.907708089888, 'std': 1923.235211543112, 'min': 2016.8715, 'count': 89}"
