run,backend,n_produced,n_consumed,n_matched,tti_p50_ms,tti_p95_ms,tti_p99_ms,tti_max_ms,transport_p50_ms,transport_p95_ms,transport_p99_ms,transport_max_ms,schedlag_p50_ms,schedlag_p95_ms,schedlag_p99_ms,schedlag_max_ms
s1_kafka_rep1_20251230_173811,kafka,572,572,572,2.345986,5.413404949999992,87.13650951999995,110.869259,1.3102459999999998,1.9176625499999995,2.1054267499999995,104.351227,1.233315,4.3440901999999975,81.44071052999978,109.721561
s1_kafka_rep2_20251230_174202,kafka,572,572,572,2.459692,5.964167599999993,86.23955170999996,110.035186,1.367604,2.0870378499999998,2.358073049999999,103.768374,1.257806,4.597250699999998,80.51046300999978,108.994031
s1_kafka_rep3_20251230_174553,kafka,572,572,572,2.3834875,5.257351299999996,85.99746495999996,109.795112,1.3189075,1.9563134500000001,2.1076677799999994,103.439122,1.2822605,4.129373899999998,80.19475375999977,108.702723
s1_kafka_rep4_20251230_174944,kafka,572,572,572,2.706282,6.560083349999992,91.84180901999996,115.520692,1.616345,2.1858692499999997,2.64010279,109.426913,1.4408665,5.14497905,86.10544311999978,114.356378
s1_kafka_rep5_20251230_175336,kafka,572,572,572,3.595218,2732.1884594,2734.43087431,2737.16195,1.456252,2.0309285499999996,2.199511529999999,104.845306,2.1125904999999996,2731.0862219,2733.29009054,2736.022231
s1_redis_rep1_20251230_173811,redis,572,572,572,1.0716545,2.76895495,4.603376049999974,7.053572,0.6943695000000001,1.0058922499999998,1.296484059999998,3.182993,0.19536350000000002,1.882748999999999,3.1259170499999995,6.347817
s1_redis_rep2_20251230_174202,redis,572,572,572,1.095434,2.7953788499999996,4.227588689999992,6.923901,0.701866,1.0282260499999998,1.1615572699999994,2.714759,0.233439,1.8825701,3.2522831599999984,5.814229
s1_redis_rep3_20251230_174553,redis,572,572,572,0.9970100000000001,2.6898977499999996,4.24972690999999,7.101204,0.6511165,1.076212249999999,1.2344306599999997,3.176084,0.1875455,1.7179810999999994,3.004702999999994,6.094878
s1_redis_rep4_20251230_174944,redis,572,572,572,1.2450800000000002,2.99108785,4.002256849999981,9.102242,0.699886,1.0027687499999998,1.2361863699999998,4.410186,0.145674,2.091393299999994,3.0988098199999934,8.734842
s1_redis_rep5_20251230_175336,redis,572,572,572,1.0966735,2.7081960499999993,4.55885275999999,7.582938,0.680879,1.0599987499999997,1.3790957799999997,3.093888,0.2020445,1.8285449499999982,2.846742109999997,6.189177
