run_id,scenario,config,backend,rep,n_producer_events,n_consumer_events,speedup,corrections_every_k,correction_delay_s,tti_p50,tti_p95,tti_p99,tti_max,tti_mean,tti_std,tti_min,transport_p50,transport_p95,transport_p99,transport_max,transport_mean,resource_kafka_avg_cpu,resource_run_id,resource_kafka_peak_mem,resource_backend,resource_config,resource_kafka_avg_mem,resource_redis_peak_cpu,resource_system_avg_cpu,resource_system_peak_cpu,resource_redis_avg_mem,resource_sample_count,resource_speedup,resource_kafka_peak_cpu,resource_redis_avg_cpu,resource_redis_peak_mem,n_produced,n_consumed,n_matched,meta_max_t_sim,meta_speedup,match_rate
s5_s2sf12_baseline_kafka_rep1_20260612_185120,s2sf12,baseline,kafka,rep1,4554,4554,120,50,2.0,5163.325527999999,7924.85794725,8201.097439000001,8265.450834,5177.520388103864,1766.8673914836513,2003.340345,2003.6053499999998,2003.792805,2003.903033,2004.3724,2003.6242555994734,1.64,s5_s2sf12_baseline_kafka_rep1_20260612_185120,1115.14,kafka,baseline,1115.14,0.25,19.32,22.3,120.4,4,120,1.78,0.23,120.4,4554,4554,4554,600,120,1.0
s5_s2sf12_baseline_redis_rep1_20260612_185207,s2sf12,baseline,redis,rep1,4554,4554,120,50,2.0,3077.903667,4046.64742875,4129.1414263199995,4151.367934,3077.5257152667987,622.5176647584256,2008.365145,2011.2404000000001,2019.9055,2022.565602,2025.6472,2012.5465471673256,1.56,s5_s2sf12_baseline_redis_rep1_20260612_185207,1101.82,redis,baseline,1101.82,0.24,17.77,18.87,122.3,3,120,1.64,0.23,122.3,4554,4554,4554,600,120,1.0
s5_s2sf12_fast_corrections_kafka_rep1_20260612_185842,s2sf12,fast_corrections,kafka,rep1,4911,4911,120,10,0.5,5135.575678,7855.854112,8117.203165999999,8186.380034,5133.005013885359,1750.6236673206633,2008.4983,2001.4456,2001.67745,2001.80198,2002.2975,2001.4680181836693,1.6,s5_s2sf12_fast_corrections_kafka_rep1_20260612_185842,1118.21,kafka,fast_corrections,1117.95,0.24,19.54,26.3,127.9,4,120,1.7,0.23,127.9,4911,4911,4911,600,120,1.0
s5_s2sf12_fast_corrections_redis_rep1_20260612_185930,s2sf12,fast_corrections,redis,rep1,4911,4911,120,10,0.5,3072.534134,4034.854612,4128.013976,4152.230434,3068.1953589474647,620.9859349481043,2006.0631,2023.3863,2047.4709,2051.5106499999997,2053.7666,2024.6512543473832,1.56,s5_s2sf12_fast_corrections_redis_rep1_20260612_185930,1104.9,redis,fast_corrections,1104.38,0.25,17.9,18.57,129.6,2,120,1.66,0.24,129.6,4911,4911,4911,600,120,1.0
s5_s2sf12_high_frequency_kafka_rep1_20260612_185415,s2sf12,high_frequency,kafka,rep1,4911,4911,120,10,2.0,5004.9355,7816.865261999999,8075.669376,8137.966634,5009.96645043596,1770.5506489341285,2006.3611,1999.549,1999.776,1999.9159,2000.4012,1999.5748663001427,1.54,s5_s2sf12_high_frequency_kafka_rep1_20260612_185415,1116.16,kafka,high_frequency,1116.16,0.23,17.74,24.83,123.7,4,120,1.61,0.22,123.7,4911,4911,4911,600,120,1.0
s5_s2sf12_high_frequency_redis_rep1_20260612_185503,s2sf12,high_frequency,redis,rep1,4911,4911,120,10,2.0,2983.644689,4182.085362,4276.6579059999995,4298.989734,3019.5245073082874,677.0787913895066,2013.2046,2006.593,2151.63155,2157.1315,2158.3139,2032.4414545306456,1.52,s5_s2sf12_high_frequency_redis_rep1_20260612_185503,1102.85,redis,high_frequency,1102.85,0.25,19.17,22.69,125.2,3,120,1.58,0.24,125.2,4911,4911,4911,600,120,1.0
s5_s2sf12_high_speedup_kafka_rep1_20260612_185247,s2sf12,high_speedup,kafka,rep1,4554,4554,240,50,2.0,5202.332388999999,7946.10302395,8197.052104,8256.763167,5191.33794641546,1769.3803287321782,2015.5224,2009.81695,2010.001635,2010.104847,2010.3876,2009.8380226174793,1.56,s5_s2sf12_high_speedup_kafka_rep1_20260612_185247,1116.16,kafka,high_speedup,1116.16,0.24,19.1,27.25,122.3,4,240,1.65,0.22,122.3,4554,4554,4554,600,240,1.0
s5_s2sf12_high_speedup_redis_rep1_20260612_185334,s2sf12,high_speedup,redis,rep1,4554,4554,240,50,2.0,3146.8476339999997,4227.66732395,4317.722541,4342.170067,3163.560726718489,683.4895940499201,2008.221,2003.4313499999998,2016.1214699999998,2020.8378380000001,2022.6061,2005.0558581247253,1.43,s5_s2sf12_high_speedup_redis_rep1_20260612_185334,1102.85,redis,high_speedup,1102.85,0.26,16.74,18.49,123.7,2,240,1.51,0.25,123.7,4554,4554,4554,600,240,1.0
s5_s2sf12_long_delay_kafka_rep1_20260612_185711,s2sf12,long_delay,kafka,rep1,4554,4554,120,50,5.0,4977.365917,7743.11184725,8004.710551,8066.456634,5018.540478288318,1739.2559377708935,2000.4131,2002.8921,2003.07177,2003.209047,2003.9327,2002.916381137462,1.62,s5_s2sf12_long_delay_kafka_rep1_20260612_185711,1116.16,kafka,long_delay,1116.16,0.24,18.82,25.51,126.3,4,120,1.67,0.23,126.3,4554,4554,4554,600,120,1.0
s5_s2sf12_long_delay_redis_rep1_20260612_185758,s2sf12,long_delay,redis,rep1,4554,4554,120,50,5.0,3078.954267,4028.47998375,4113.27153832,4134.434734,3075.9557390700484,617.0421736589307,2012.723145,2013.8165,2014.810075,2015.5539430000001,2017.6499,2013.7919728370664,1.49,s5_s2sf12_long_delay_redis_rep1_20260612_185758,1102.85,redis,long_delay,1102.85,0.25,15.98,18.07,128.0,3,120,1.51,0.25,128.0,4554,4554,4554,600,120,1.0
