t_wall_ns,pid,on_cpu_ns,wait_ns,slices,n_threads,schedstats_enabled
1784995545122636237,339738,161203956,176148709,499,1,1
1784995545122636237,339750,102506932,86285598,48,2,1
1784995545122636237,339753,162984730,144496751,539,1,1
1784995545122636237,339755,151475266,203713945,497,1,1
1784995545122636237,339757,101784573,96671426,55,2,1
1784995545122636237,339760,97492015,70664283,44,2,1
1784995545122636237,339771,138660553,166993138,317,1,1
1784995545122636237,339778,152718058,106135904,452,1,1
1784995545122636237,339779,98919490,87269384,35,1,1
1784995545122636237,339782,102017033,132247114,57,2,1
1784995545638980739,339738,275835937,345393911,1779,1,1
1784995545638980739,339750,331507378,182193192,207,2,1
1784995545638980739,339753,279897882,302443219,1826,1,1
1784995545638980739,339755,264743707,367847975,1792,1,1
1784995545638980739,339757,253122551,248832052,889,2,1
1784995545638980739,339760,246947115,242071148,137,2,1
1784995545638980739,339771,261958060,312159778,1685,1,1
1784995545638980739,339778,270609162,262853693,1756,1,1
1784995545638980739,339779,233576601,219218794,102,2,1
1784995545638980739,339782,343606177,199924760,170,2,1
1784995546156101485,339738,377363144,580220993,2764,1,1
1784995546156101485,339750,547861236,484278211,385,2,1
1784995546156101485,339753,373553498,553978424,2779,1,1
1784995546156101485,339755,348164936,638352238,2673,1,1
1784995546156101485,339757,450983988,567862782,1798,2,1
1784995546156101485,339760,421745903,583629994,195,2,1
1784995546156101485,339771,363649994,540952626,2710,1,1
1784995546156101485,339778,355538455,534168327,2664,1,1
1784995546156101485,339779,415809195,554637486,168,2,1
1784995546156101485,339782,535925215,525975075,428,2,1
1784995546156101485,339790,306828100,909249134,334,8,1
1784995546156101485,339793,284279512,939827979,110,8,1
1784995546156101485,339794,274292742,931070776,186,8,1
1784995546156101485,339796,278982541,878142572,180,8,1
1784995546156101485,339798,276260101,860346466,334,8,1
1784995546682091404,339738,488592125,783719989,3843,1,1
1784995546682091404,339750,859274484,699502152,507,2,1
1784995546682091404,339753,484291912,761619010,3846,1,1
1784995546682091404,339755,453013756,878666337,3707,1,1
