backend,scenario,Avg Producer Events,Avg Consumer Events,Avg Matched Events,Total Matched Events,Match Rate (%)
kafka,concurrency,451.0,451.0,451.0,16224.0,100.0
redis,concurrency,451.0,451.0,451.0,16224.0,100.0
