run_id,backend,scenario,concurrency,plan_csv,tti_ms_p50,tti_ms_p95,tti_ms_p99,tti_ms_max,tti_ms_mean,tti_ms_std,tti_ms_min,n_producer,n_consumer,n_matched,transport_latency_ms_p50
concurrency_n10_20260612_220222_redis_feed5_rep1,redis,concurrency,10,data/processed/replay_plans/s2sf12/combined_plan.csv,3208.065195,3752.097439,3777.100682,3784.729767,3123.9350747414387,484.07300778591804,2107.1332,584,584,584,2050.0097
concurrency_n10_20260612_220222_kafka_feed5_rep1,kafka,concurrency,10,data/processed/replay_plans/s2sf12/combined_plan.csv,2938.336045,3904.729814,3989.342108,4009.693267,2991.1574158373287,564.3512442329597,2080.6182,584,584,584,1961.78305
concurrency_n10_20260612_220222_kafka_feed6_rep1,kafka,concurrency,10,data/processed/replay_plans/s2sf12/combined_plan.csv,3002.158945,3965.660049,4043.750109,4064.642467,3015.3248821044517,593.3544893206579,2025.5756,584,584,584,1909.89355
concurrency_n10_20260612_220222_kafka_feed7_rep1,kafka,concurrency,10,data/processed/replay_plans/s2sf12/combined_plan.csv,3125.689045,4071.473094,4145.148537,4170.508067,3122.749826453767,606.944542600611,2080.3589,584,584,584,1963.62675
concurrency_n10_20260612_220222_kafka_feed4_rep1,kafka,concurrency,10,data/processed/replay_plans/s2sf12/combined_plan.csv,3157.035195,4071.275429,4136.986584,4154.211967,3152.120599227739,609.8653981861025,2049.5405,584,584,584,1928.4589999999998
concurrency_n10_20260612_220222_kafka_feed3_rep1,kafka,concurrency,10,data/processed/replay_plans/s2sf12/combined_plan.csv,3206.453145,4114.061444,4180.519576,4197.631367,3204.765813611301,602.1082347505574,2129.2086,584,584,584,1999.1171
concurrency_n10_20260612_220222_kafka_feed10_rep1,kafka,concurrency,10,data/processed/replay_plans/s2sf12/combined_plan.csv,3112.437145,3823.588569,3874.9272339999998,3890.552867,3058.2386560770547,545.8302459599942,2032.6905,584,584,584,1913.1280499999998
concurrency_n10_20260612_220222_kafka_feed1_rep1,kafka,concurrency,10,data/processed/replay_plans/s2sf12/combined_plan.csv,3156.7203449999997,3839.694519,3893.9278879999997,3907.089967,3095.725669775685,534.0885414883537,2079.6898,584,584,584,1955.583
concurrency_n10_20260612_220222_kafka_feed2_rep1,kafka,concurrency,10,data/processed/replay_plans/s2sf12/combined_plan.csv,3083.058995,3703.447689,3747.2654359999997,3759.031667,3021.2871148099316,486.5399869466496,2053.8208,584,584,584,1924.7777999999998
concurrency_n10_20260612_220222_kafka_feed8_rep1,kafka,concurrency,10,data/processed/replay_plans/s2sf12/combined_plan.csv,3073.450095,3668.844099,3712.192044,3723.709867,3016.778261385274,466.7305986094416,2070.348,584,584,584,1944.2989
