backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_runs
kafka,single,5,12.145534,26.620096699999998,1.0798,2.674939999999998,6.840767,15
redis,single,5,10.496034,22.291909999999998,1.5866,3.9558099999999996,7.327467,15
