run,scenario,backend,plan_csv,speedup,max_t_sim,bootstrap,git_head,git_dirty,kafka_producer_opts,kafka_consumer_opts,redis_opts
s1_kafka_rep1_20260611_220804,,kafka,data/processed/replay_plans/s1/combined_plan.csv,120,600,localhost:9092,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s1_kafka_rep2_20260611_220929,,kafka,data/processed/replay_plans/s1/combined_plan.csv,120,600,localhost:9092,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s1_kafka_rep3_20260611_221049,,kafka,data/processed/replay_plans/s1/combined_plan.csv,120,600,localhost:9092,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s1_kafka_rep4_20260611_221210,,kafka,data/processed/replay_plans/s1/combined_plan.csv,120,600,localhost:9092,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s1_kafka_rep5_20260611_221332,,kafka,data/processed/replay_plans/s1/combined_plan.csv,120,600,localhost:9092,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s1_redis_rep1_20260611_220852,,redis,data/processed/replay_plans/s1/combined_plan.csv,120,600,,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s1_redis_rep2_20260611_221012,,redis,data/processed/replay_plans/s1/combined_plan.csv,120,600,,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s1_redis_rep3_20260611_221132,,redis,data/processed/replay_plans/s1/combined_plan.csv,120,600,,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s1_redis_rep4_20260611_221255,,redis,data/processed/replay_plans/s1/combined_plan.csv,120,600,,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s1_redis_rep5_20260611_221415,,redis,data/processed/replay_plans/s1/combined_plan.csv,120,600,,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
