run_id,backend,n_events,neg_ack,neg_send,neg_output_send,neg_tti,min_ack_us,min_send_us,median_ack_us,median_send_us
concurrency_n12_20260723_050408_kafka_feed10_rep1,kafka,144,1,0,0,0,-428.7,1756.9,610.9,2174.1
concurrency_n12_20260723_050408_kafka_feed10_rep2,kafka,144,4,0,0,0,-3208.3,1634.6,590.8,2110.5
concurrency_n12_20260723_050408_kafka_feed10_rep3,kafka,144,3,0,0,0,-607.0,1708.5,609.2,2192.7
concurrency_n12_20260723_050408_kafka_feed12_rep1,kafka,148,8,0,0,0,-899.6,1648.5,520.3,2097.7
concurrency_n12_20260723_050408_kafka_feed12_rep2,kafka,148,6,0,0,0,-568.9,1631.9,532.2,2058.8
concurrency_n12_20260723_050408_kafka_feed12_rep3,kafka,148,0,0,0,0,243.5,1550.9,540.0,2083.0
concurrency_n12_20260723_050408_kafka_feed1_rep1,kafka,148,6,0,0,0,-2238.9,1835.9,565.4,2356.2
concurrency_n12_20260723_050408_kafka_feed1_rep2,kafka,148,5,0,0,0,-6411.0,1818.6,559.0,2326.0
concurrency_n12_20260723_050408_kafka_feed1_rep3,kafka,148,1,0,0,0,-546.4,1705.4,560.6,2175.1
concurrency_n12_20260723_050408_kafka_feed2_rep1,kafka,71,7,0,0,0,-601.8,1810.3,506.3,2238.6
concurrency_n12_20260723_050408_kafka_feed2_rep2,kafka,71,5,0,0,0,-7905.9,1759.1,533.2,2161.1
concurrency_n12_20260723_050408_kafka_feed2_rep3,kafka,71,0,0,0,0,326.9,1591.3,572.7,2161.2
concurrency_n12_20260723_050408_kafka_feed3_rep1,kafka,121,4,0,0,0,-2242.9,1617.2,527.0,2147.3
concurrency_n12_20260723_050408_kafka_feed3_rep2,kafka,121,3,0,0,0,-176.1,1682.3,566.8,2164.4
concurrency_n12_20260723_050408_kafka_feed3_rep3,kafka,121,3,0,0,0,-636.2,1707.0,572.1,2164.1
concurrency_n12_20260723_050408_kafka_feed4_rep1,kafka,112,8,0,0,0,-9650.5,1752.5,590.4,2261.5
concurrency_n12_20260723_050408_kafka_feed4_rep2,kafka,112,9,0,0,0,-2917.2,1639.3,577.9,2398.5
concurrency_n12_20260723_050408_kafka_feed4_rep3,kafka,112,5,0,0,0,-1721.0,1850.9,595.4,2323.6
concurrency_n12_20260723_050408_kafka_feed5_rep1,kafka,145,8,0,0,0,-685.5,1694.2,538.5,2114.3
