run_id,backend,n_events,neg_ack,neg_send,neg_output_send,neg_tti,min_ack_us,min_send_us,median_ack_us,median_send_us
concurrency_n12_20260723_050408_kafka_feed5_rep2,kafka,145,10,0,0,0,-6706.5,1658.2,582.1,2290.8
concurrency_n12_20260723_050408_kafka_feed5_rep3,kafka,145,4,0,0,0,-658.1,1628.9,546.7,2090.0
concurrency_n12_20260723_050408_kafka_feed6_rep1,kafka,88,8,0,0,0,-661.5,1694.7,592.1,2399.5
concurrency_n12_20260723_050408_kafka_feed6_rep2,kafka,88,0,0,0,0,356.1,1823.0,551.4,2232.5
concurrency_n12_20260723_050408_kafka_feed6_rep3,kafka,88,1,0,0,0,-595.5,1589.2,465.7,2032.8
concurrency_n12_20260723_050408_kafka_feed7_rep1,kafka,94,2,0,0,0,-632.1,1578.4,642.4,2178.6
concurrency_n12_20260723_050408_kafka_feed7_rep2,kafka,94,3,0,0,0,-649.9,1632.5,588.1,2139.7
concurrency_n12_20260723_050408_kafka_feed7_rep3,kafka,94,9,0,0,0,-643.0,1601.0,600.0,2404.9
concurrency_n12_20260723_050408_kafka_feed8_rep1,kafka,143,15,0,0,0,-671.4,1705.4,599.7,2299.3
concurrency_n12_20260723_050408_kafka_feed8_rep2,kafka,143,4,0,0,0,-690.3,1524.5,543.4,2103.0
concurrency_n12_20260723_050408_kafka_feed8_rep3,kafka,143,5,0,0,0,-2042.6,1594.7,556.8,2045.7
concurrency_n12_20260723_050408_kafka_feed9_rep1,kafka,127,3,0,0,0,-489.2,1576.2,543.2,2148.4
concurrency_n12_20260723_050408_kafka_feed9_rep2,kafka,127,7,0,0,0,-1108.2,1692.2,532.1,2193.8
concurrency_n12_20260723_050408_kafka_feed9_rep3,kafka,127,16,0,0,0,-1769.0,1618.1,548.0,2201.4
concurrency_n12_20260723_050408_redis_feed10_rep1,redis,144,19,0,0,0,-3123.5,455.0,485.5,1188.0
concurrency_n12_20260723_050408_redis_feed10_rep2,redis,144,17,0,0,0,-414.0,562.0,360.0,1253.6
concurrency_n12_20260723_050408_redis_feed10_rep3,redis,144,29,0,0,0,-570.6,532.3,520.3,1238.7
concurrency_n12_20260723_050408_redis_feed12_rep1,redis,148,31,0,0,0,-2437.3,546.7,107.0,867.6
concurrency_n12_20260723_050408_redis_feed12_rep2,redis,148,12,0,0,0,-312.8,539.8,148.2,747.8
concurrency_n12_20260723_050408_redis_feed12_rep3,redis,148,21,0,0,0,-3239.7,379.7,135.0,816.2
concurrency_n12_20260723_050408_redis_feed1_rep1,redis,148,22,0,0,0,-2520.6,532.3,145.6,922.9
concurrency_n12_20260723_050408_redis_feed1_rep2,redis,148,32,0,0,0,-813.8,619.2,97.8,854.5
concurrency_n12_20260723_050408_redis_feed1_rep3,redis,148,24,0,0,0,-1907.1,600.1,100.4,835.7
concurrency_n12_20260723_050408_redis_feed2_rep1,redis,71,11,0,0,0,-2418.2,536.2,236.1,1110.3
concurrency_n12_20260723_050408_redis_feed2_rep2,redis,71,17,0,0,0,-912.3,539.5,105.1,911.8
concurrency_n12_20260723_050408_redis_feed2_rep3,redis,71,8,0,0,0,-1776.5,601.1,145.2,1215.7
concurrency_n12_20260723_050408_redis_feed3_rep1,redis,121,27,0,0,0,-1185.7,584.7,115.0,823.3
concurrency_n12_20260723_050408_redis_feed3_rep2,redis,121,8,0,0,0,-247.2,538.5,192.9,841.0
concurrency_n12_20260723_050408_redis_feed3_rep3,redis,121,21,0,0,0,-274.3,530.2,102.3,889.7
concurrency_n12_20260723_050408_redis_feed4_rep1,redis,112,15,0,0,0,-510.4,511.1,324.0,1062.7
concurrency_n12_20260723_050408_redis_feed4_rep2,redis,112,13,0,0,0,-280.9,537.8,112.2,995.6
concurrency_n12_20260723_050408_redis_feed4_rep3,redis,112,15,0,0,0,-1762.7,506.1,194.5,1100.0
concurrency_n12_20260723_050408_redis_feed5_rep1,redis,145,26,0,0,0,-538.3,536.9,90.8,700.8
concurrency_n12_20260723_050408_redis_feed5_rep2,redis,145,20,0,0,0,-3745.2,541.2,192.1,906.7
concurrency_n12_20260723_050408_redis_feed5_rep3,redis,145,11,0,0,0,-905.3,536.3,165.8,798.8
concurrency_n12_20260723_050408_redis_feed6_rep1,redis,125,23,0,0,0,-1000.7,498.9,397.9,1112.6
concurrency_n12_20260723_050408_redis_feed6_rep2,redis,125,19,0,0,0,-2550.9,567.2,186.8,1027.6
concurrency_n12_20260723_050408_redis_feed6_rep3,redis,125,19,0,0,0,-1982.9,462.9,97.5,988.3
concurrency_n12_20260723_050408_redis_feed7_rep1,redis,94,18,0,0,0,-2513.8,511.0,492.0,1330.4
concurrency_n12_20260723_050408_redis_feed7_rep2,redis,94,15,0,0,0,-395.0,487.7,309.2,1063.9
concurrency_n12_20260723_050408_redis_feed7_rep3,redis,94,11,0,0,0,-3591.1,575.2,599.9,1263.9
concurrency_n12_20260723_050408_redis_feed8_rep1,redis,143,19,0,0,0,-1829.3,450.3,324.8,1251.8
concurrency_n12_20260723_050408_redis_feed8_rep2,redis,143,33,0,0,0,-1116.2,501.3,121.8,1060.2
concurrency_n12_20260723_050408_redis_feed8_rep3,redis,143,29,0,0,0,-3450.1,497.9,136.8,1054.4
concurrency_n12_20260723_050408_redis_feed9_rep1,redis,127,28,0,0,0,-2170.1,519.0,101.5,844.2
concurrency_n12_20260723_050408_redis_feed9_rep2,redis,127,31,0,0,0,-298.2,515.2,133.9,950.7
concurrency_n12_20260723_050408_redis_feed9_rep3,redis,127,25,0,0,0,-3096.7,454.8,105.6,799.4
concurrency_n12_20260724_062751_kafka_feed10_rep1,kafka,144,2,0,0,0,-66.4,1507.8,532.5,1952.6
concurrency_n12_20260724_062751_kafka_feed10_rep10,kafka,144,2,0,0,0,-60.4,1566.9,577.2,2018.2
concurrency_n12_20260724_062751_kafka_feed10_rep11,kafka,144,2,0,0,0,-90.1,1613.8,554.6,2063.6
concurrency_n12_20260724_062751_kafka_feed10_rep12,kafka,144,2,0,0,0,-145.9,1553.7,553.9,1997.9
concurrency_n12_20260724_062751_kafka_feed10_rep13,kafka,144,5,0,0,0,-2228.6,1586.9,585.8,2059.0
concurrency_n12_20260724_062751_kafka_feed10_rep14,kafka,144,2,0,0,0,-85.7,1490.6,557.1,2022.9
concurrency_n12_20260724_062751_kafka_feed10_rep15,kafka,144,3,0,0,0,-68.8,1589.6,556.0,2034.8
concurrency_n12_20260724_062751_kafka_feed10_rep2,kafka,144,2,0,0,0,-123.0,1496.5,538.2,1934.8
concurrency_n12_20260724_062751_kafka_feed10_rep3,kafka,144,2,0,0,0,-208.7,1509.5,535.5,1954.0
concurrency_n12_20260724_062751_kafka_feed10_rep4,kafka,144,2,0,0,0,-89.4,1565.9,552.4,1981.5
concurrency_n12_20260724_062751_kafka_feed10_rep5,kafka,144,2,0,0,0,-216.5,1563.3,530.9,1987.7
concurrency_n12_20260724_062751_kafka_feed10_rep6,kafka,144,2,0,0,0,-100.1,1598.8,550.2,2025.9
concurrency_n12_20260724_062751_kafka_feed10_rep7,kafka,144,7,0,0,0,-708.1,1479.7,531.1,1905.0
concurrency_n12_20260724_062751_kafka_feed10_rep8,kafka,144,2,0,0,0,-49.3,1666.4,572.4,2072.2
concurrency_n12_20260724_062751_kafka_feed10_rep9,kafka,144,2,0,0,0,-87.8,1571.8,568.7,2043.9
concurrency_n12_20260724_062751_kafka_feed12_rep1,kafka,148,1,0,0,0,-389.5,1501.0,493.3,1942.5
concurrency_n12_20260724_062751_kafka_feed12_rep10,kafka,148,1,0,0,0,-241.9,1559.3,514.4,1970.5
concurrency_n12_20260724_062751_kafka_feed12_rep11,kafka,148,4,0,0,0,-689.7,1573.7,526.6,1987.0
concurrency_n12_20260724_062751_kafka_feed12_rep12,kafka,148,1,0,0,0,-218.2,1586.7,515.6,2013.7
concurrency_n12_20260724_062751_kafka_feed12_rep13,kafka,148,2,0,0,0,-1239.8,1510.9,478.6,1935.8
concurrency_n12_20260724_062751_kafka_feed12_rep14,kafka,148,1,0,0,0,-299.0,1714.1,561.5,2127.0
concurrency_n12_20260724_062751_kafka_feed12_rep15,kafka,148,1,0,0,0,-177.9,1537.0,526.5,1942.1
concurrency_n12_20260724_062751_kafka_feed12_rep2,kafka,148,1,0,0,0,-191.8,1606.0,518.4,2103.9
concurrency_n12_20260724_062751_kafka_feed12_rep3,kafka,148,1,0,0,0,-199.0,1512.2,514.7,2000.6
concurrency_n12_20260724_062751_kafka_feed12_rep4,kafka,148,1,0,0,0,-322.4,1569.3,540.8,1995.7
concurrency_n12_20260724_062751_kafka_feed12_rep5,kafka,148,1,0,0,0,-254.5,1740.7,535.8,2169.1
concurrency_n12_20260724_062751_kafka_feed12_rep6,kafka,148,1,0,0,0,-296.8,1521.9,516.8,1981.9
concurrency_n12_20260724_062751_kafka_feed12_rep7,kafka,148,3,0,0,0,-1492.0,1540.1,526.3,2019.8
concurrency_n12_20260724_062751_kafka_feed12_rep8,kafka,148,1,0,0,0,-311.0,1609.5,533.8,2028.0
concurrency_n12_20260724_062751_kafka_feed12_rep9,kafka,148,1,0,0,0,-229.1,1552.5,499.4,2004.5
concurrency_n12_20260724_062751_kafka_feed1_rep1,kafka,148,1,0,0,0,-271.7,1567.7,531.7,2034.5
concurrency_n12_20260724_062751_kafka_feed1_rep10,kafka,148,1,0,0,0,-440.2,1618.4,528.3,2072.1
concurrency_n12_20260724_062751_kafka_feed1_rep11,kafka,148,1,0,0,0,-378.3,1554.7,512.2,1950.8
concurrency_n12_20260724_062751_kafka_feed1_rep12,kafka,148,6,0,0,0,-802.8,1797.2,523.9,2200.9
concurrency_n12_20260724_062751_kafka_feed1_rep13,kafka,148,1,0,0,0,-261.9,1585.8,566.5,2021.9
concurrency_n12_20260724_062751_kafka_feed1_rep14,kafka,148,6,0,0,0,-775.5,1631.6,530.2,2082.9
concurrency_n12_20260724_062751_kafka_feed1_rep15,kafka,148,1,0,0,0,-181.9,1575.3,512.0,1996.1
concurrency_n12_20260724_062751_kafka_feed1_rep2,kafka,148,1,0,0,0,-292.1,1534.5,516.2,1947.0
concurrency_n12_20260724_062751_kafka_feed1_rep3,kafka,148,2,0,0,0,-4609.6,1549.4,538.6,1987.9
concurrency_n12_20260724_062751_kafka_feed1_rep4,kafka,148,1,0,0,0,-135.8,1548.5,524.3,2003.5
concurrency_n12_20260724_062751_kafka_feed1_rep5,kafka,148,1,0,0,0,-245.6,1631.4,533.5,2025.7
concurrency_n12_20260724_062751_kafka_feed1_rep6,kafka,148,1,0,0,0,-229.2,1655.0,513.8,2231.7
concurrency_n12_20260724_062751_kafka_feed1_rep7,kafka,148,1,0,0,0,-254.4,1673.5,556.2,2105.6
concurrency_n12_20260724_062751_kafka_feed1_rep8,kafka,148,1,0,0,0,-128.4,1525.6,531.5,2014.6
concurrency_n12_20260724_062751_kafka_feed1_rep9,kafka,148,1,0,0,0,-374.4,1709.7,544.5,2103.8
concurrency_n12_20260724_062751_kafka_feed2_rep1,kafka,71,0,0,0,0,339.8,1662.4,566.8,2067.8
concurrency_n12_20260724_062751_kafka_feed2_rep10,kafka,71,0,0,0,0,297.0,1575.4,515.9,2001.4
concurrency_n12_20260724_062751_kafka_feed2_rep11,kafka,71,0,0,0,0,294.9,1510.6,543.3,2030.3
concurrency_n12_20260724_062751_kafka_feed2_rep12,kafka,71,0,0,0,0,252.1,1663.5,532.7,1990.9
concurrency_n12_20260724_062751_kafka_feed2_rep13,kafka,71,0,0,0,0,214.7,1533.0,563.3,1969.0
concurrency_n12_20260724_062751_kafka_feed2_rep14,kafka,71,0,0,0,0,342.0,1585.5,571.9,2073.0
concurrency_n12_20260724_062751_kafka_feed2_rep15,kafka,71,0,0,0,0,319.9,1503.0,544.9,2042.0
concurrency_n12_20260724_062751_kafka_feed2_rep2,kafka,71,0,0,0,0,311.8,1702.8,533.4,2165.5
concurrency_n12_20260724_062751_kafka_feed2_rep3,kafka,71,0,0,0,0,306.5,1639.8,576.5,2027.5
concurrency_n12_20260724_062751_kafka_feed2_rep4,kafka,71,5,0,0,0,-1741.9,1655.7,533.8,2131.8
concurrency_n12_20260724_062751_kafka_feed2_rep5,kafka,71,0,0,0,0,354.2,1671.6,594.0,2237.7
concurrency_n12_20260724_062751_kafka_feed2_rep6,kafka,71,0,0,0,0,295.5,1619.5,548.3,1984.7
concurrency_n12_20260724_062751_kafka_feed2_rep7,kafka,71,0,0,0,0,223.4,1656.0,585.4,2081.6
concurrency_n12_20260724_062751_kafka_feed2_rep8,kafka,71,0,0,0,0,357.8,1785.6,567.8,2153.8
concurrency_n12_20260724_062751_kafka_feed2_rep9,kafka,71,0,0,0,0,249.1,1664.9,580.0,2041.8
concurrency_n12_20260724_062751_kafka_feed3_rep1,kafka,121,0,0,0,0,344.7,1593.9,540.4,1972.8
concurrency_n12_20260724_062751_kafka_feed3_rep10,kafka,121,0,0,0,0,226.3,1782.3,551.4,2228.1
concurrency_n12_20260724_062751_kafka_feed3_rep11,kafka,121,0,0,0,0,310.2,1515.6,536.3,1978.4
concurrency_n12_20260724_062751_kafka_feed3_rep12,kafka,121,0,0,0,0,294.9,1565.7,515.2,2005.9
concurrency_n12_20260724_062751_kafka_feed3_rep13,kafka,121,0,0,0,0,299.8,1614.6,586.0,2030.5
concurrency_n12_20260724_062751_kafka_feed3_rep14,kafka,121,0,0,0,0,334.1,1539.0,532.6,1949.4
concurrency_n12_20260724_062751_kafka_feed3_rep15,kafka,121,5,0,0,0,-1283.8,1780.4,532.0,2225.8
concurrency_n12_20260724_062751_kafka_feed3_rep2,kafka,121,0,0,0,0,327.6,1519.8,542.9,1920.1
concurrency_n12_20260724_062751_kafka_feed3_rep3,kafka,121,1,0,0,0,-712.8,1483.9,509.9,2033.4
concurrency_n12_20260724_062751_kafka_feed3_rep4,kafka,121,0,0,0,0,337.4,1649.5,551.3,2011.7
concurrency_n12_20260724_062751_kafka_feed3_rep5,kafka,121,0,0,0,0,312.6,1533.3,533.3,2007.1
concurrency_n12_20260724_062751_kafka_feed3_rep6,kafka,121,0,0,0,0,311.6,1582.0,550.4,1970.4
concurrency_n12_20260724_062751_kafka_feed3_rep7,kafka,121,0,0,0,0,302.2,1617.2,536.8,1914.0
concurrency_n12_20260724_062751_kafka_feed3_rep8,kafka,121,0,0,0,0,307.7,1625.6,554.0,2000.3
concurrency_n12_20260724_062751_kafka_feed3_rep9,kafka,121,0,0,0,0,293.2,1548.0,526.1,2035.1
concurrency_n12_20260724_062751_kafka_feed4_rep1,kafka,112,1,0,0,0,-182.0,1532.8,553.4,1986.2
concurrency_n12_20260724_062751_kafka_feed4_rep10,kafka,112,1,0,0,0,-121.3,1661.3,583.0,2140.9
concurrency_n12_20260724_062751_kafka_feed4_rep11,kafka,112,1,0,0,0,-243.4,1665.5,612.7,2182.9
concurrency_n12_20260724_062751_kafka_feed4_rep12,kafka,112,1,0,0,0,-127.7,1565.4,572.6,2081.7
concurrency_n12_20260724_062751_kafka_feed4_rep13,kafka,112,1,0,0,0,-162.6,1561.7,561.1,1944.7
concurrency_n12_20260724_062751_kafka_feed4_rep14,kafka,112,1,0,0,0,-352.1,1613.7,613.5,2126.8
concurrency_n12_20260724_062751_kafka_feed4_rep15,kafka,112,1,0,0,0,-157.8,1692.6,554.4,2136.1
concurrency_n12_20260724_062751_kafka_feed4_rep2,kafka,112,1,0,0,0,-110.1,1514.3,577.4,2025.2
concurrency_n12_20260724_062751_kafka_feed4_rep3,kafka,112,4,0,0,0,-512.5,1495.6,560.1,2086.3
concurrency_n12_20260724_062751_kafka_feed4_rep4,kafka,112,1,0,0,0,-154.9,1649.6,541.3,2118.8
concurrency_n12_20260724_062751_kafka_feed4_rep5,kafka,112,1,0,0,0,-328.8,1618.2,586.0,2081.5
concurrency_n12_20260724_062751_kafka_feed4_rep6,kafka,112,1,0,0,0,-209.8,1625.3,563.8,2144.4
concurrency_n12_20260724_062751_kafka_feed4_rep7,kafka,112,1,0,0,0,-133.3,1678.3,593.3,2101.4
concurrency_n12_20260724_062751_kafka_feed4_rep8,kafka,112,1,0,0,0,-132.3,1648.8,577.2,2123.9
concurrency_n12_20260724_062751_kafka_feed4_rep9,kafka,112,1,0,0,0,-268.9,1666.9,557.9,2055.9
concurrency_n12_20260724_062751_kafka_feed5_rep1,kafka,145,0,0,0,0,323.0,1544.5,520.4,2018.5
concurrency_n12_20260724_062751_kafka_feed5_rep10,kafka,145,0,0,0,0,301.8,1574.4,550.9,2029.4
concurrency_n12_20260724_062751_kafka_feed5_rep11,kafka,145,5,0,0,0,-580.0,1551.4,550.3,2020.2
concurrency_n12_20260724_062751_kafka_feed5_rep12,kafka,145,0,0,0,0,319.6,1560.0,529.4,1997.0
concurrency_n12_20260724_062751_kafka_feed5_rep13,kafka,145,0,0,0,0,278.2,1729.4,523.9,2163.2
concurrency_n12_20260724_062751_kafka_feed5_rep14,kafka,145,0,0,0,0,58.3,1647.0,524.2,2052.4
concurrency_n12_20260724_062751_kafka_feed5_rep15,kafka,145,0,0,0,0,266.3,1687.4,548.7,2119.8
concurrency_n12_20260724_062751_kafka_feed5_rep2,kafka,145,0,0,0,0,296.2,1547.8,532.5,1982.0
concurrency_n12_20260724_062751_kafka_feed5_rep3,kafka,145,0,0,0,0,307.6,1797.8,608.4,2271.5
concurrency_n12_20260724_062751_kafka_feed5_rep4,kafka,145,0,0,0,0,277.1,1522.2,533.4,1959.9
concurrency_n12_20260724_062751_kafka_feed5_rep5,kafka,145,0,0,0,0,318.8,1583.5,535.8,2046.6
concurrency_n12_20260724_062751_kafka_feed5_rep6,kafka,145,0,0,0,0,298.8,1589.8,537.6,2109.7
concurrency_n12_20260724_062751_kafka_feed5_rep7,kafka,145,0,0,0,0,310.2,1759.3,523.3,2194.7
concurrency_n12_20260724_062751_kafka_feed5_rep8,kafka,145,0,0,0,0,328.2,1652.3,530.7,2011.5
concurrency_n12_20260724_062751_kafka_feed5_rep9,kafka,145,0,0,0,0,297.5,1628.4,545.1,2034.4
concurrency_n12_20260724_062751_kafka_feed6_rep1,kafka,88,0,0,0,0,321.9,1588.6,510.5,1932.1
concurrency_n12_20260724_062751_kafka_feed6_rep10,kafka,88,0,0,0,0,323.6,1590.5,542.8,2018.5
concurrency_n12_20260724_062751_kafka_feed6_rep11,kafka,88,0,0,0,0,349.7,1639.6,546.6,2001.7
concurrency_n12_20260724_062751_kafka_feed6_rep12,kafka,88,0,0,0,0,314.8,1623.4,521.7,1986.8
concurrency_n12_20260724_062751_kafka_feed6_rep13,kafka,88,0,0,0,0,327.0,1609.1,479.5,1967.2
concurrency_n12_20260724_062751_kafka_feed6_rep14,kafka,88,0,0,0,0,317.9,1582.9,476.7,1963.0
concurrency_n12_20260724_062751_kafka_feed6_rep15,kafka,88,0,0,0,0,207.0,1663.9,516.9,2056.6
concurrency_n12_20260724_062751_kafka_feed6_rep2,kafka,88,5,0,0,0,-1508.4,1529.4,514.3,2016.4
concurrency_n12_20260724_062751_kafka_feed6_rep3,kafka,88,0,0,0,0,332.8,1631.1,515.3,1969.0
concurrency_n12_20260724_062751_kafka_feed6_rep4,kafka,88,0,0,0,0,316.4,1512.1,485.6,1946.9
concurrency_n12_20260724_062751_kafka_feed6_rep5,kafka,88,0,0,0,0,187.1,1615.9,527.0,2023.8
concurrency_n12_20260724_062751_kafka_feed6_rep6,kafka,88,0,0,0,0,367.9,1599.8,500.4,1996.0
concurrency_n12_20260724_062751_kafka_feed6_rep7,kafka,88,0,0,0,0,318.8,1622.2,539.7,2087.0
concurrency_n12_20260724_062751_kafka_feed6_rep8,kafka,88,5,0,0,0,-772.1,1709.2,517.6,2208.8
concurrency_n12_20260724_062751_kafka_feed6_rep9,kafka,88,0,0,0,0,312.0,1584.6,520.7,2027.2
concurrency_n12_20260724_062751_kafka_feed7_rep1,kafka,94,0,0,0,0,294.8,1533.3,543.1,1970.7
concurrency_n12_20260724_062751_kafka_feed7_rep10,kafka,94,0,0,0,0,337.8,1686.7,554.9,2196.8
concurrency_n12_20260724_062751_kafka_feed7_rep11,kafka,94,0,0,0,0,347.5,1613.7,592.1,2134.2
concurrency_n12_20260724_062751_kafka_feed7_rep12,kafka,94,0,0,0,0,308.3,1768.9,548.9,2249.2
concurrency_n12_20260724_062751_kafka_feed7_rep13,kafka,94,0,0,0,0,332.1,1569.8,547.3,2006.1
concurrency_n12_20260724_062751_kafka_feed7_rep14,kafka,94,0,0,0,0,268.7,1555.9,542.8,2023.7
concurrency_n12_20260724_062751_kafka_feed7_rep15,kafka,94,0,0,0,0,317.2,1663.8,567.1,2138.1
concurrency_n12_20260724_062751_kafka_feed7_rep2,kafka,94,0,0,0,0,328.6,1506.8,499.0,1997.2
concurrency_n12_20260724_062751_kafka_feed7_rep3,kafka,94,0,0,0,0,283.2,1491.0,497.2,1960.8
concurrency_n12_20260724_062751_kafka_feed7_rep4,kafka,94,0,0,0,0,336.2,1609.6,551.3,2109.7
concurrency_n12_20260724_062751_kafka_feed7_rep5,kafka,94,0,0,0,0,288.1,1648.4,599.8,2126.8
concurrency_n12_20260724_062751_kafka_feed7_rep6,kafka,94,0,0,0,0,336.6,1543.7,554.5,1988.1
concurrency_n12_20260724_062751_kafka_feed7_rep7,kafka,94,0,0,0,0,288.6,1588.4,553.9,2025.2
concurrency_n12_20260724_062751_kafka_feed7_rep8,kafka,94,0,0,0,0,364.2,1627.4,569.8,2088.1
concurrency_n12_20260724_062751_kafka_feed7_rep9,kafka,94,0,0,0,0,307.5,1543.6,525.5,1993.1
concurrency_n12_20260724_062751_kafka_feed8_rep1,kafka,143,3,0,0,0,-153.1,1583.5,551.7,2030.1
concurrency_n12_20260724_062751_kafka_feed8_rep10,kafka,143,3,0,0,0,-45.6,1493.6,539.2,2017.1
concurrency_n12_20260724_062751_kafka_feed8_rep11,kafka,143,8,0,0,0,-732.6,1500.3,553.8,1944.4
concurrency_n12_20260724_062751_kafka_feed8_rep12,kafka,143,3,0,0,0,-84.4,1659.2,536.1,2055.8
concurrency_n12_20260724_062751_kafka_feed8_rep13,kafka,143,3,0,0,0,-117.4,1548.4,532.6,1986.9
concurrency_n12_20260724_062751_kafka_feed8_rep14,kafka,143,3,0,0,0,-151.2,1537.8,500.4,1984.8
concurrency_n12_20260724_062751_kafka_feed8_rep15,kafka,143,3,0,0,0,-174.6,1544.2,546.2,1982.1
concurrency_n12_20260724_062751_kafka_feed8_rep2,kafka,143,3,0,0,0,-37.7,1603.5,572.1,2044.9
concurrency_n12_20260724_062751_kafka_feed8_rep3,kafka,143,3,0,0,0,-82.4,1704.2,559.8,2164.8
concurrency_n12_20260724_062751_kafka_feed8_rep4,kafka,143,3,0,0,0,-213.7,1553.1,561.0,1982.3
concurrency_n12_20260724_062751_kafka_feed8_rep5,kafka,143,3,0,0,0,-65.5,1575.3,533.4,2054.5
concurrency_n12_20260724_062751_kafka_feed8_rep6,kafka,143,3,0,0,0,-124.6,1617.5,549.8,2072.8
concurrency_n12_20260724_062751_kafka_feed8_rep7,kafka,143,3,0,0,0,-123.5,1564.9,536.0,2014.9
concurrency_n12_20260724_062751_kafka_feed8_rep8,kafka,143,3,0,0,0,-128.9,1616.0,551.6,2023.9
concurrency_n12_20260724_062751_kafka_feed8_rep9,kafka,143,3,0,0,0,-182.5,1686.5,563.7,2072.7
concurrency_n12_20260724_062751_kafka_feed9_rep1,kafka,127,1,0,0,0,-286.2,1761.1,531.2,2173.8
concurrency_n12_20260724_062751_kafka_feed9_rep10,kafka,127,1,0,0,0,-89.5,1729.9,555.4,2083.8
concurrency_n12_20260724_062751_kafka_feed9_rep11,kafka,127,1,0,0,0,-293.6,1674.6,545.8,2145.5
concurrency_n12_20260724_062751_kafka_feed9_rep12,kafka,127,1,0,0,0,-245.8,1578.3,543.2,2036.9
concurrency_n12_20260724_062751_kafka_feed9_rep13,kafka,127,2,0,0,0,-489.9,1484.9,511.4,1974.1
concurrency_n12_20260724_062751_kafka_feed9_rep14,kafka,127,1,0,0,0,-270.7,1537.1,516.8,1948.0
concurrency_n12_20260724_062751_kafka_feed9_rep15,kafka,127,1,0,0,0,-186.2,1599.6,522.5,2010.8
concurrency_n12_20260724_062751_kafka_feed9_rep2,kafka,127,1,0,0,0,-232.9,1614.6,529.4,2022.5
concurrency_n12_20260724_062751_kafka_feed9_rep3,kafka,127,4,0,0,0,-1375.5,1548.8,525.8,2027.0
concurrency_n12_20260724_062751_kafka_feed9_rep4,kafka,127,3,0,0,0,-2340.1,1641.1,541.6,2058.1
concurrency_n12_20260724_062751_kafka_feed9_rep5,kafka,127,1,0,0,0,-292.2,1591.4,524.2,2006.3
concurrency_n12_20260724_062751_kafka_feed9_rep6,kafka,127,6,0,0,0,-664.8,1533.1,505.2,1969.2
concurrency_n12_20260724_062751_kafka_feed9_rep7,kafka,127,3,0,0,0,-3700.3,1615.5,561.3,2055.2
concurrency_n12_20260724_062751_kafka_feed9_rep8,kafka,127,1,0,0,0,-108.8,1649.3,550.2,2049.7
concurrency_n12_20260724_062751_kafka_feed9_rep9,kafka,127,1,0,0,0,-170.7,1658.2,529.1,2110.9
concurrency_n12_20260724_062751_redis_feed10_rep1,redis,144,4,0,0,0,-29.5,469.7,657.0,1125.2
concurrency_n12_20260724_062751_redis_feed10_rep10,redis,144,2,0,0,0,-219.1,511.6,637.9,1117.7
