backend,correction_propagation_latency_ms_p50,correction_propagation_latency_ms_p95,correction_propagation_latency_ms_p99,inconsistency_duration_ms_p50,inconsistency_duration_ms_p95,inconsistency_duration_ms_p99,n_corrections,n_base_events_with_corrections,correction_propagation_latency_ms_p50_ratio,correction_propagation_latency_ms_p95_ratio,correction_propagation_latency_ms_p99_ratio,inconsistency_duration_ms_p50_ratio,inconsistency_duration_ms_p95_ratio,inconsistency_duration_ms_p99_ratio
kafka,2.49,1407.84,1709.11,2.49,1407.84,1709.11,89.0,89.0,224.31,1.29,1.14,224.31,1.29,1.14
redis,558.54,1819.13,1941.58,558.54,1819.13,1941.58,89.0,89.0,224.31,1.29,1.14,224.31,1.29,1.14
