run_id,verdict,n_events,n_above,share_above,median_ordinal_above,max_ordinal_above,above_within_first_5pct,warmup_events,n_full,n_kept,mean_full,mean_kept,mean_delta,median_full,median_kept,median_delta,p95_full,p95_kept,p95_delta
concurrency_n1_20260721_203144_kafka_feed1_rep1,mixed,507,78,0.15384615384615385,38.5,77,0.3333333333333333,20,507,487,19.743749169625243,15.863223997946612,-3.880525171678631,4.851633,4.670642,-0.18099099999999968,102.3463183,78.24975439999999,-24.096563900000007
concurrency_n1_20260721_203144_kafka_feed1_rep10,mixed,507,75,0.14792899408284024,37.0,74,0.3466666666666667,20,507,487,17.14115958974359,13.306374542094456,-3.8347850476491345,2.063137,1.969164,-0.0939730000000003,98.651738,74.7910991,-23.860638899999998
concurrency_n1_20260721_203144_kafka_feed1_rep11,mixed,507,70,0.13806706114398423,34.5,69,0.37142857142857144,20,507,487,16.304349157790924,12.441764696098561,-3.8625844616923626,1.735433,1.718363,-0.01706999999999992,98.46680959999999,73.9227681,-24.54404149999999
concurrency_n1_20260721_203144_kafka_feed1_rep12,mixed,507,70,0.13806706114398423,34.5,69,0.37142857142857144,20,507,487,16.400169992110452,12.538752244353184,-3.861417747757269,1.761575,1.722846,-0.03872899999999979,98.53123689999998,73.98440679999999,-24.546830099999994
concurrency_n1_20260721_203144_kafka_feed1_rep13,mixed,507,70,0.13806706114398423,34.5,69,0.37142857142857144,20,507,487,16.234933629191325,12.375811088295691,-3.8591225408956333,1.679069,1.629775,-0.04929399999999995,98.31250589999999,73.7635185,-24.548987399999987
concurrency_n1_20260721_203144_kafka_feed1_rep14,mixed,507,74,0.14595660749506903,36.5,73,0.35135135135135137,20,507,487,16.79276526035503,12.883802303901435,-3.9089629564535944,1.767972,1.728341,-0.039631000000000194,100.08270429999999,75.5287841,-24.553920199999993
concurrency_n1_20260721_203144_kafka_feed1_rep15,mixed,507,77,0.15187376725838264,38.0,76,0.33766233766233766,20,507,487,17.649015911242603,13.758532098562629,-3.8904838126799746,2.064504,1.956466,-0.10803799999999986,100.5370409,75.9982701,-24.538770799999995
concurrency_n1_20260721_203144_kafka_feed1_rep16,mixed,507,74,0.14595660749506903,36.5,73,0.35135135135135137,20,507,487,16.790584546351088,12.887608743326492,-3.902975803024596,1.650064,1.628977,-0.021087000000000078,99.93082859999998,75.3958041,-24.535024499999977
concurrency_n1_20260721_203144_kafka_feed1_rep17,mixed,507,68,0.1341222879684418,33.5,68,0.38235294117647056,20,507,487,16.22859882248521,12.37959068788501,-3.8490081346002007,1.725742,1.709813,-0.015929000000000082,98.0545126,73.5007914,-24.5537212
concurrency_n1_20260721_203144_kafka_feed1_rep18,mixed,507,75,0.14792899408284024,37.0,74,0.3466666666666667,20,507,487,16.949514828402364,13.057449260780288,-3.892065567622076,1.64443,1.62259,-0.02184000000000008,99.938801,75.4217778,-24.517023199999997
concurrency_n1_20260721_203144_kafka_feed1_rep2,mixed,507,75,0.14792899408284024,37.0,74,0.3466666666666667,20,507,487,17.59632817159763,13.747376225872689,-3.8489519457249415,2.765322,2.673062,-0.09226000000000001,99.42002389999999,74.80277,-24.617253899999994
concurrency_n1_20260721_203144_kafka_feed1_rep3,mixed,507,75,0.14792899408284024,37.0,74,0.3466666666666667,20,507,487,17.121532536489152,13.23874181724846,-3.882790719240692,2.031182,1.998403,-0.03277899999999989,99.78294829999999,75.4884,-24.294548299999988
concurrency_n1_20260721_203144_kafka_feed1_rep4,mixed,507,72,0.14201183431952663,35.5,71,0.3611111111111111,20,507,487,16.74396979092702,12.872365223819301,-3.8716045671077204,2.010668,1.972691,-0.03797699999999993,99.11882889999998,74.4438866,-24.674942299999984
concurrency_n1_20260721_203144_kafka_feed1_rep5,mixed,507,72,0.14201183431952663,35.5,71,0.3611111111111111,20,507,487,16.919980122287967,13.061163197125257,-3.85881692516271,2.380512,2.289603,-0.0909089999999999,98.98935589999999,74.3257907,-24.663565199999994
concurrency_n1_20260721_203144_kafka_feed1_rep6,mixed,507,74,0.14595660749506903,36.5,73,0.35135135135135137,20,507,487,16.82585008678501,12.960684523613962,-3.8651655631710486,1.837468,1.787407,-0.05006100000000013,99.0503256,74.34476299999999,-24.705562600000007
concurrency_n1_20260721_203144_kafka_feed1_rep7,mixed,507,78,0.15384615384615385,38.5,77,0.3333333333333333,20,507,487,17.58783975739645,13.649167472279261,-3.938672285117187,2.086603,2.047794,-0.03880900000000009,101.60101189999999,76.9086567,-24.692355199999994
concurrency_n1_20260721_203144_kafka_feed1_rep8,mixed,507,72,0.14201183431952663,35.5,71,0.3611111111111111,20,507,487,16.452443341222878,12.571310630390142,-3.881132710832736,1.671254,1.618325,-0.052929000000000004,99.06383359999998,74.3784826,-24.685350999999983
concurrency_n1_20260721_203144_kafka_feed1_rep9,mixed,507,70,0.13806706114398423,34.5,69,0.37142857142857144,20,507,487,16.49807559566075,12.63844232238193,-3.8596332732788206,1.570559,1.537449,-0.03310999999999997,98.58141959999999,73.8989024,-24.682517199999992
