match_id,n_rows,plan,min,max,span
3895052,3739,sf12_j0,0.0,704.0833333333334,704.0833333333334
3895060,4311,sf12_j0,0.0,691.6666666666666,691.6666666666666
3895067,3977,sf12_j0,0.0,695.1666666666666,695.1666666666666
3895074,4346,sf12_j0,0.0,717.0,717.0
3895086,4233,sf12_j0,0.0,705.0,705.0
3895095,4035,sf12_j0,0.0,696.25,696.25
3895107,4249,sf12_j0,0.0,690.5,690.5
3895113,4018,sf12_j0,0.0,696.0833333333334,696.0833333333334
3895121,3871,sf12_j0,0.0,704.1666666666666,704.1666666666666
3895134,3881,sf12_j0,0.0,702.4166666666666,702.4166666666666
3895052,3739,sf12_j2,-0.955765297937964,703.1275680353954,704.0833333333334
3895060,4311,sf12_j2,1.7493693950198934,693.4160360616866,691.6666666666666
3895067,3977,sf12_j2,-1.3900987884383924,693.7765678782282,695.1666666666666
3895074,4346,sf12_j2,0.4644201119859548,717.464420111986,717.0
3895086,4233,sf12_j2,-0.3363955376959393,704.6636044623041,705.0
3895095,4035,sf12_j2,0.8920991910897675,697.1420991910898,696.25
3895107,4249,sf12_j2,-0.989115412351636,689.5108845876483,690.5
3895113,4018,sf12_j2,-1.4613541829775407,694.6219791503559,696.0833333333334
3895121,3871,sf12_j2,-0.31158692523486,703.8550797414317,704.1666666666666
3895134,3881,sf12_j2,-0.6081867526392397,701.8084799140274,702.4166666666666
