                                run backend  n_produced  n_consumed  n_matched  tti_p50_ms  tti_p95_ms  tti_p99_ms  tti_max_ms  transport_p50_ms  transport_p95_ms  transport_p99_ms  transport_max_ms  schedlag_p50_ms  schedlag_p95_ms  schedlag_p99_ms  schedlag_max_ms  tti_miss_100ms  schedlag_miss_100ms  tti_miss_250ms  schedlag_miss_250ms  tti_miss_500ms  schedlag_miss_500ms  tti_miss_1000ms  schedlag_miss_1000ms  tti_miss_2000ms  schedlag_miss_2000ms  tti_miss_5000ms  schedlag_miss_5000ms
s2sf12j2_kafka_rep5_20251231_012837   kafka       40660       40660      40660  722.230537 2265.421220 2464.818589 2550.570025          1.029691          1.273688          1.454939         88.866318       721.297750      2264.391326      2463.720747      2549.458413        0.988342             0.987949        0.944934             0.944466        0.751254             0.750049         0.333178              0.333005         0.098598              0.098352              0.0                   0.0
s2sf12j2_kafka_rep5_20251231_170804   kafka       40660       40660      40660  280.263060  572.942550  645.969133  735.247631          0.958898          1.155799          1.282860         89.954525       279.307217       571.955394       644.980986       734.237809        0.896877             0.895794        0.597762             0.595794        0.138170             0.136719         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
  s2sf12_redis_rep1_20251231_003714   redis       40660       40660      40660    2.509099    5.416012    7.055496   40.293098          0.842402          1.369732          1.630508          4.996147         1.634007         4.190293         5.674989        38.822814        0.000000             0.000000        0.000000             0.000000        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
  s2sf12_redis_rep1_20251231_161743   redis       40660       40660      40660    2.510190    5.573138    7.347984   44.674420          0.903841          1.451066          1.746269          7.957783         1.602521         4.273845         5.909926        42.799216        0.000000             0.000000        0.000000             0.000000        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
  s2sf12_redis_rep2_20251231_004315   redis       40660       40660      40660    2.486635    5.421417    6.979515   40.739791          0.851934          1.388545          1.667348          4.708200         1.608575         4.181785         5.656251        39.219871        0.000000             0.000000        0.000000             0.000000        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
  s2sf12_redis_rep2_20251231_162338   redis       40660       40660      40660    2.533643    5.569783    7.274817   40.032336          0.879018          1.431907          1.727589          5.463251         1.632083         4.284097         5.819682        38.233284        0.000000             0.000000        0.000000             0.000000        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
  s2sf12_redis_rep3_20251231_004917   redis       40660       40660      40660    2.442572    5.377042    6.987198   42.104736          0.854488          1.379434          1.653973          5.408561         1.573841         4.133563         5.632923        40.372199        0.000000             0.000000        0.000000             0.000000        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
  s2sf12_redis_rep3_20251231_162934   redis       40660       40660      40660    2.507899    5.551819    7.287789   41.962932          0.896734          1.443205          1.753251         10.729909         1.599927         4.245017         5.811259        40.099574        0.000000             0.000000        0.000000             0.000000        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
  s2sf12_redis_rep4_20251231_005519   redis       40660       40660      40660    2.423373    5.368553    6.949925   41.510123          0.873443          1.401095          1.654589          5.398124         1.545698         4.122120         5.601514        39.764422        0.000000             0.000000        0.000000             0.000000        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
  s2sf12_redis_rep4_20251231_163529   redis       40660       40660      40660    2.478794    5.529370    7.243342   40.550693          0.909692          1.451291          1.735206          3.815672         1.581675         4.231542         5.867969        38.654300        0.000000             0.000000        0.000000             0.000000        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
  s2sf12_redis_rep5_20251231_010118   redis       40660       40660      40660    2.512818    5.488462    7.129838   41.971643          0.852828          1.403760          1.712642         10.577212         1.628662         4.218584         5.722893        39.893585        0.000000             0.000000        0.000000             0.000000        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
  s2sf12_redis_rep5_20251231_164123   redis       40660       40660      40660    2.475660    5.491745    7.160309   40.535974          0.902048          1.434840          1.715016          8.716815         1.576826         4.204786         5.718310        38.687604        0.000000             0.000000        0.000000             0.000000        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
s2sf12j2_redis_rep1_20251231_010734   redis       40660       40660      40660  168.931823  263.809189  271.312929  281.915115          1.145230          1.983087          2.329743          9.438695       167.757506       262.824783       270.220647       280.017278        0.722897             0.718642        0.125922             0.122750        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
s2sf12j2_redis_rep1_20251231_164722   redis       40660       40660      40660  168.995977  263.808013  271.409127  280.978205          1.206079          2.092584          2.452266          8.927540       167.745683       262.750703       270.228655       279.289986        0.723094             0.718815        0.126390             0.123266        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
s2sf12j2_redis_rep2_20251231_011337   redis       40660       40660      40660  168.935296  263.785942  271.345143  282.056635          1.152458          2.032197          2.384095          5.472578       167.737227       262.791586       270.267740       280.588464        0.722651             0.718519        0.125996             0.123192        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
s2sf12j2_redis_rep2_20251231_165319   redis       40660       40660      40660  169.027049  263.900135  271.387537  283.972970          1.196480          2.081633          2.398987          6.717977       167.791883       262.828910       270.289539       281.626271        0.723438             0.719134        0.126365             0.122996        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
s2sf12j2_redis_rep3_20251231_011936   redis       40660       40660      40660  168.986545  263.818934  271.346561  281.122412          1.161045          2.091964          2.440719          3.741163       167.777406       262.841956       270.273975       280.115765        0.722700             0.718913        0.125996             0.123094        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
s2sf12j2_redis_rep3_20251231_165914   redis       40660       40660      40660  169.125134  263.939429  271.473489  281.868506          1.162678          2.079503          2.458492          6.362069       167.905490       262.946405       270.354369       280.275019        0.723315             0.719479        0.126267             0.123291        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
s2sf12j2_redis_rep4_20251231_012539   redis       40660       40660      40660  168.980920  263.777161  271.323265  281.665398          1.150881          2.042738          2.417439          4.950667       167.752638       262.809618       270.273235       280.357735        0.723094             0.718790        0.125947             0.122651        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
s2sf12j2_redis_rep4_20251231_170507   redis       40660       40660      40660  168.972616  263.818492  271.384392  283.618196          1.186773          2.063521          2.387491          4.582424       167.735318       262.795950       270.220295       282.082309        0.722848             0.718642        0.126144             0.123094        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
s2sf12j2_redis_rep5_20251231_013128   redis       40660       40660      40660  169.556770  264.208396  271.708263  282.494077          1.253050          2.204169          2.601078          9.867265       168.253992       263.111710       270.513161       281.224503        0.725726             0.721594        0.127914             0.124939        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
s2sf12j2_redis_rep5_20251231_171103   redis       40660       40660      40660  169.074766  263.887877  271.366453  281.878346          1.193068          2.102820          2.503901         14.255560       167.848597       262.821318       270.318521       280.320200        0.723807             0.719675        0.126636             0.123438        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
