speedup,mean,std,min,max,count,parameter,metric,corrections_every_k,correction_delay_s
60.0,3921.74043775,1168.1958282844278,2909.49933,4941.490156,4,speedup,tti_p50,,
120.0,4079.5347167916666,1028.001387642634,3008.044989,5154.332771,24,speedup,tti_p50,,
240.0,4183.999606,1166.3953679301953,3174.336083,5246.140568000001,4,speedup,tti_p50,,
60.0,5566.403553825,2162.2976071269663,3689.18957385,7450.06777715,4,speedup,tti_p95,,
120.0,5947.877739295833,1903.3868590884626,4019.80565865,7927.559253249999,24,speedup,tti_p95,,
240.0,6106.711461487499,2147.0231347869644,4239.3623307,8037.165697349999,4,speedup,tti_p95,,
60.0,5715.0255041175005,2251.3289816216657,3762.12878283,7678.26691217,4,speedup,tti_p99,,
120.0,6118.940065965417,1987.3536678802348,4105.6149195200005,8171.6986742,24,speedup,tti_p99,,
240.0,6277.0420579425,2236.5929092687443,4329.72500891,8284.66937486,4,speedup,tti_p99,,
60.0,3918.6487611923585,1166.4686304549675,2907.623747200044,4933.04065486188,4,speedup,tti_mean,,
120.0,4086.6415944230816,1026.1784375463974,3044.4654838914685,5160.776195523057,24,speedup,tti_mean,,
240.0,4188.000596644379,1164.21689743899,3177.988246928195,5241.510605623847,4,speedup,tti_mean,,
,4057.58593275,1070.8767438512143,3008.044989,5137.741434,8,corrections_every_k,tti_p50,10.0,
,4075.2656825,1042.240832518234,2909.49933,5246.140568000001,20,corrections_every_k,tti_p50,50.0,
,4091.4480665,1147.975906272513,3093.706778,5092.999207,4,corrections_every_k,tti_p50,100.0,
,5995.5955075,1963.7330242609562,4081.751146,7889.886135000001,8,corrections_every_k,tti_p95,10.0,
,5893.9853557575,1936.062309316417,3689.18957385,8037.165697349999,20,corrections_every_k,tti_p95,50.0,
,5899.263657299999,2126.585622194357,4056.2984384,7758.518034799999,4,corrections_every_k,tti_p95,100.0,
,6178.7613199,2058.553897730739,4175.0142117000005,8167.265442999999,8,corrections_every_k,tti_p99,10.0,
,6056.547391468501,2016.0049096241132,3762.12878283,8284.66937486,20,corrections_every_k,tti_p99,50.0,
,6065.44836071,2221.3058145119862,4141.14865048,8001.82597284,4,corrections_every_k,tti_p99,100.0,
,4071.5924663806763,1064.9887311008767,3044.4654838914685,5119.654500061087,8,corrections_every_k,tti_mean,10.0,
,4077.6631964424246,1041.4831386308838,2907.623747200044,5241.510605623847,20,corrections_every_k,tti_mean,50.0,
,4094.998009401752,1150.352931723747,3097.581366130406,5097.861338745399,4,corrections_every_k,tti_mean,100.0,
,4111.1145718125,1092.1994324493473,3069.060183,5154.332771,8,correction_delay_s,tti_p50,,0.5
,4059.139215375,1036.1526084609359,2909.49933,5246.140568000001,20,correction_delay_s,tti_p50,,2.0
,4065.023124,1134.1303048222146,3081.250767,5068.284116999999,4,correction_delay_s,tti_p50,,5.0
,5932.73824045,2005.2058283941778,4019.80565865,7840.39628395,8,correction_delay_s,tti_p95,,0.5
,5913.504243584999,1916.1028629023458,3689.18957385,8037.165697349999,20,correction_delay_s,tti_p95,,2.0
,5927.3837522625,2155.175572733535,4048.00535375,7829.473307249999,4,correction_delay_s,tti_p95,,5.0
,6105.64385777,2092.3192617404798,4105.6149195200005,8081.81583262,8,correction_delay_s,tti_p99,,0.5
,6080.443354221499,2000.6746627849755,3762.12878283,8284.66937486,20,correction_delay_s,tti_p99,,2.0
,6092.203471205001,2241.6870770395276,4141.07071332,8073.227861,4,correction_delay_s,tti_p99,,5.0
,4108.108831450122,1087.8183347284996,3077.526495325428,5152.351189286781,8,correction_delay_s,tti_mean,,0.5
,4068.1389124522866,1035.1710158819537,2907.623747200044,5241.510605623847,20,correction_delay_s,tti_mean,,2.0
,4069.586699213548,1135.3357009942438,3081.126801762187,5071.056401344971,4,correction_delay_s,tti_mean,,5.0
