backend,n_produced_median,n_produced_iqr,n_consumed_median,n_consumed_iqr,n_matched_median,n_matched_iqr,tti_p50_ms_median,tti_p50_ms_iqr,tti_p95_ms_median,tti_p95_ms_iqr,tti_p99_ms_median,tti_p99_ms_iqr,tti_max_ms_median,tti_max_ms_iqr,transport_p50_ms_median,transport_p50_ms_iqr,transport_p95_ms_median,transport_p95_ms_iqr,transport_p99_ms_median,transport_p99_ms_iqr,transport_max_ms_median,transport_max_ms_iqr,schedlag_p50_ms_median,schedlag_p50_ms_iqr,schedlag_p95_ms_median,schedlag_p95_ms_iqr,schedlag_p99_ms_median,schedlag_p99_ms_iqr,schedlag_max_ms_median,schedlag_max_ms_iqr,tti_miss_100ms_median,tti_miss_100ms_iqr,schedlag_miss_100ms_median,schedlag_miss_100ms_iqr,tti_miss_250ms_median,tti_miss_250ms_iqr,schedlag_miss_250ms_median,schedlag_miss_250ms_iqr,tti_miss_500ms_median,tti_miss_500ms_iqr,schedlag_miss_500ms_median,schedlag_miss_500ms_iqr,tti_miss_1000ms_median,tti_miss_1000ms_iqr,schedlag_miss_1000ms_median,schedlag_miss_1000ms_iqr,tti_miss_2000ms_median,tti_miss_2000ms_iqr,schedlag_miss_2000ms_median,schedlag_miss_2000ms_iqr,tti_miss_5000ms_median,tti_miss_5000ms_iqr,schedlag_miss_5000ms_median,schedlag_miss_5000ms_iqr
kafka,40660.0,0.0,40660.0,0.0,40660.0,0.0,299.71389425,227.457802375,579.3467697499999,671.8257774499998,640.7240817799997,786.8864476349995,706.213934,853.2744512500001,0.96350625,0.01852324999999999,1.1874425249999998,0.09831842499999999,1.4055233599999981,0.2144748674999999,91.8127485,2.784990250000007,298.75724775000003,227.368245625,578.3636767749999,671.8033061999997,639.759188,786.7527685524994,705.1104555,853.09028675,0.899274471224791,0.2175787014264634,0.8982046237088047,0.21881455976389574,0.6330054107230694,0.3791256763403837,0.6308042302016724,0.3806443679291687,0.15309886866699454,0.4110489424495819,0.15143876045253313,0.4095794392523364,0.0,0.0901561731431382,0.0,0.08988563698967042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
redis,40660.0,0.0,40660.0,0.0,40660.0,0.0,85.73273275000001,166.486320375,134.67514955,258.3276781375,139.33045643,264.21824628499996,162.8263125,240.56999825000003,1.0274610000000002,0.29107775000000013,1.7171889249999999,0.6551651999999992,2.041497214999997,0.7088362325000024,5.9173235,4.070551750000002,84.6846625,166.16060924999996,133.51739965000002,258.6070496875,138.065110485,264.55167325,161.044601,240.70129949999998,0.3613256271519921,0.7230939498278406,0.3592597147073291,0.7188391539596656,0.0629611411706837,0.12617437284800787,0.0613256271519921,0.1231185440236104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
