backend,correction_propagation_latency_ms_p50,correction_propagation_latency_ms_p95,correction_propagation_latency_ms_p99,inconsistency_duration_ms_p50,inconsistency_duration_ms_p95,inconsistency_duration_ms_p99,n_corrections,n_base_events_with_corrections,correction_propagation_latency_ms_p50_ratio,correction_propagation_latency_ms_p95_ratio,correction_propagation_latency_ms_p99_ratio,inconsistency_duration_ms_p50_ratio,inconsistency_duration_ms_p95_ratio,inconsistency_duration_ms_p99_ratio
kafka,99.84,1619.65,1762.15,99.84,1619.65,1762.15,45.0,45.0,13.13,1.18,1.11,13.13,1.18,1.11
redis,1311.09,1903.38,1957.75,1311.09,1903.38,1957.75,45.0,45.0,13.13,1.18,1.11,13.13,1.18,1.11
