backend,correction_propagation_latency_ms_p50,correction_propagation_latency_ms_p95,correction_propagation_latency_ms_p99,inconsistency_duration_ms_p50,inconsistency_duration_ms_p95,inconsistency_duration_ms_p99,n_corrections,n_base_events_with_corrections,correction_propagation_latency_ms_p50_ratio,correction_propagation_latency_ms_p95_ratio,correction_propagation_latency_ms_p99_ratio,inconsistency_duration_ms_p50_ratio,inconsistency_duration_ms_p95_ratio,inconsistency_duration_ms_p99_ratio
kafka,2.58,1382.13,1703.29,2.58,1382.13,1703.29,89.0,89.0,319.54,1.34,1.14,319.54,1.34,1.14
redis,824.42,1845.91,1944.31,824.42,1845.91,1944.31,89.0,89.0,319.54,1.34,1.14,319.54,1.34,1.14
