backend,correction_propagation_latency_ms_p50,correction_propagation_latency_ms_p95,correction_propagation_latency_ms_p99,inconsistency_duration_ms_p50,inconsistency_duration_ms_p95,inconsistency_duration_ms_p99,n_corrections,n_base_events_with_corrections,correction_propagation_latency_ms_p50_ratio,correction_propagation_latency_ms_p95_ratio,correction_propagation_latency_ms_p99_ratio,inconsistency_duration_ms_p50_ratio,inconsistency_duration_ms_p95_ratio,inconsistency_duration_ms_p99_ratio
kafka,2.46,1375.55,1710.23,2.46,1375.55,1710.23,100.0,100.0,0.76,1.44,1.17,0.76,1.44,1.17
redis,1.87,1977.58,2001.17,1.87,1977.58,2001.17,100.0,100.0,0.76,1.44,1.17,0.76,1.44,1.17
