campaign,cell,axis,level,rep,valid,invalid_reason,kept,discarded_zero,discarded_negative,most_negative_micros,zero_share,message_size_b,producer_rate,duration_min,warmup_min,load_pct,bootstrap,count_source,stdout_bytes,stdout_sha256,mtime_utc
load_sweep,l88_rep2,load_pct,88,2,1,,27913,92750,0,0,0.76867,200,500,3,1(default),88,10.0.1.221:19092,shutdown_hook,29606085,48e91edb52ebbee17354e5852cced08df930ed8e443dd5b45d58e26ddde531e0,2026-07-26T16:10:06Z
load_sweep,l88_rep3,load_pct,88,3,1,,114944,5768,0,0,0.047783,200,500,3,1(default),88,10.0.1.221:19092,shutdown_hook,28659091,647059e5d7a58c8472f9471486efd858e52480173c82a7d07eb4ebe63c455480,2026-07-26T16:18:42Z
load_sweep,l95_rep1,load_pct,95,1,1,,31991,88643,0,0,0.734809,200,500,3,1(default),95,10.0.1.221:19092,shutdown_hook,29657441,82202672a6a563ae5261adf9979d414091f5eb6ca4080fbe154fb1f68df34215,2026-07-26T16:27:17Z
load_sweep,l95_rep2,load_pct,95,2,1,,93381,27311,0,0,0.226287,200,500,3,1(default),,,shutdown_hook,28676680,2f89196309b4ee13f45691711f355303b6c96e0063c914b7bbc99314e216a4cc,2026-07-26T16:27:53Z
load_sweep,l95_rep3,load_pct,95,3,1,,114365,6369,0,0,0.052752,200,500,3,1,95,10.0.1.221:19092,shutdown_hook,28259391,b09abf2e14e7d4560a27a9d5ed9a79d1af5a0cba60637ab69074cd195b3266c7,2026-07-26T16:44:28Z
load_sweep_nowarmup,l0_rep1,load_pct,0,1,1,,90263,2,0,0,2.2e-05,200,500,3,0,0,10.0.1.221:19092,shutdown_hook,21584839,7cbe035a72377e22d651edfa62c915ddb764576b875a93bf6488af3ea5d46948,2026-07-26T20:10:31Z
load_sweep_nowarmup,l0_rep2,load_pct,0,2,1,,339,89906,0,0,0.996244,200,500,3,0,0,10.0.1.221:19092,shutdown_hook,21598943,1fe0d32d40974cc19b1136657b7783308a1b51ad4a511054e4f4f122f5b5cb00,2026-07-26T20:19:01Z
load_sweep_nowarmup,l0_rep3,load_pct,0,3,1,,90264,3,0,0,3.3e-05,200,500,3,0,0,10.0.1.221:19092,shutdown_hook,21627790,c9a83df8f83955b12564b5e09ea843cc079dd3cb7742c069894bd08af877f80d,2026-07-26T20:27:32Z
load_sweep_nowarmup,l50_rep1,load_pct,50,1,1,,89810,598,0,0,0.006614,200,500,3,0,50,10.0.1.221:19092,shutdown_hook,21419702,1dc0e5a0c57c10a545e694207414ba269ec3de8f0a661178d7a00dc14e1fdaeb,2026-07-26T20:36:08Z
load_sweep_nowarmup,l50_rep2,load_pct,50,2,1,,3790,86535,0,0,0.95804,200,500,3,0,50,10.0.1.221:19092,shutdown_hook,21445947,124e4be7287c002d5c2f9526bdd15b21a83ba538816ca18929a912946f9090da,2026-07-26T20:44:43Z
load_sweep_nowarmup,l50_rep3,load_pct,50,3,1,,89704,626,0,0,0.00693,200,500,3,0,50,10.0.1.221:19092,shutdown_hook,21356654,a9eea43506ce8fccb24cc1b598a68d317bc8951c02a7728393a23e144efa65b9,2026-07-26T20:53:18Z
load_sweep_nowarmup,l75_rep1,load_pct,75,1,1,,25781,64637,0,0,0.714869,200,500,3,0,75,10.0.1.221:19092,shutdown_hook,20210764,9f63d970c12725ad840835ae50ccd49e42255fbaaeb5f605722b723ce8d65065,2026-07-26T21:01:54Z
