plan,time_col,n_gaps,gap_mean,gap_q00,gap_q50,gap_q90,gap_q95,gap_q99,gap_q100
sf12_j0,t_emit_offset_s,40659,0.017634472072603852,0.0,0.0,0.08333333333331439,0.08333333333337123,0.08333333333337123,192.58333333333331
sf12_j2,t_emit_offset_s,40659,0.017681836107502975,0.0,0.002431599382589411,0.03603642690868014,0.04838405029940418,0.08333333333333262,189.372609755336
