bin_low_us,bin_high_us,ack,send,output_send,tti
47100,47150,5,6,7,9
47150,47200,2,9,9,5
47200,47250,6,9,9,3
47250,47300,1,7,7,9
47300,47350,1,4,4,5
47350,47400,3,5,5,6
47400,47450,6,9,10,10
47450,47500,2,8,8,7
47500,47550,3,4,3,12
47550,47600,3,12,12,6
47600,47650,4,5,5,5
47650,47700,6,13,13,14
47700,47750,6,5,5,6
47750,47800,4,7,7,4
47800,47850,0,7,7,9
47850,47900,7,8,8,5
47900,47950,3,11,11,10
47950,48000,5,7,8,8
48000,48050,2,13,12,6
48050,48100,1,8,9,13
48100,48150,2,6,6,5
48150,48200,3,7,7,9
48200,48250,3,11,11,7
48250,48300,2,8,7,10
48300,48350,3,7,7,6
48350,48400,5,6,7,3
48400,48450,1,9,9,6
48450,48500,5,9,9,9
48500,48550,7,6,6,5
48550,48600,5,4,3,15
48600,48650,7,3,4,7
48650,48700,4,8,7,6
48700,48750,4,5,5,7
48750,48800,2,3,3,11
48800,48850,2,5,5,6
48850,48900,6,6,6,7
48900,48950,3,5,5,10
48950,49000,2,6,5,8
49000,49050,2,8,10,3
49050,49100,2,3,3,13
49100,49150,2,7,7,16
49150,49200,3,7,7,4
49200,49250,4,4,4,5
49250,49300,1,9,9,4
49300,49350,5,4,4,9
49350,49400,5,2,2,5
49400,49450,4,5,5,10
49450,49500,10,9,8,13
49500,49550,7,11,12,6
49550,49600,9,7,7,5
49600,49650,6,4,4,8
49650,49700,3,10,10,7
49700,49750,4,7,7,8
49750,49800,5,7,7,5
49800,49850,5,4,4,11
49850,49900,4,9,9,7
49900,49950,6,9,9,12
49950,50000,7,5,5,9
50000,50050,7,7,7,7
50050,50100,5,10,10,7
50100,50150,6,6,6,3
50150,50200,4,9,9,4
50200,50250,6,8,8,8
50250,50300,4,3,3,7
50300,50350,3,2,2,8
50350,50400,6,8,8,6
50400,50450,9,4,4,8
50450,50500,7,7,5,8
50500,50550,8,16,13,4
50550,50600,4,38,34,5
50600,50650,4,43,39,6
50650,50700,8,46,44,7
50700,50750,6,48,40,11
50750,50800,3,41,50,4
50800,50850,4,22,28,8
50850,50900,3,12,17,4
50900,50950,4,3,6,8
50950,51000,15,9,9,6
51000,51050,2,3,3,6
51050,51100,5,2,1,7
51100,51150,4,5,6,9
51150,51200,7,7,7,3
51200,51250,4,8,8,6
51250,51300,3,8,8,7
51300,51350,3,8,8,5
51350,51400,6,4,4,15
51400,51450,6,3,3,5
51450,51500,5,4,4,8
51500,51550,2,13,13,8
51550,51600,8,24,24,13
51600,51650,7,66,65,6
51650,51700,10,97,98,5
51700,51750,2,186,185,11
51750,51800,7,226,226,5
51800,51850,8,299,299,6
51850,51900,1,308,309,9
51900,51950,5,327,323,4
51950,52000,10,332,334,10
52000,52050,4,296,297,21
52050,52100,4,269,267,16
52100,52150,4,259,262,23
52150,52200,5,252,252,27
52200,52250,2,238,236,21
52250,52300,8,186,186,21
52300,52350,7,177,175,19
52350,52400,4,170,170,16
52400,52450,8,138,139,12
52450,52500,6,114,115,14
52500,52550,5,101,101,17
52550,52600,11,81,82,17
52600,52650,9,75,74,10
52650,52700,4,60,61,14
52700,52750,12,41,41,10
52750,52800,12,49,50,14
52800,52850,5,45,44,17
52850,52900,3,43,44,38
52900,52950,7,31,31,55
52950,53000,8,24,24,72
53000,53050,4,23,23,85
53050,53100,3,24,24,108
53100,53150,5,25,24,138
53150,53200,6,24,25,149
53200,53250,4,19,19,203
53250,53300,4,9,9,193
53300,53350,8,18,18,197
53350,53400,7,14,14,180
53400,53450,6,13,12,141
53450,53500,7,11,12,170
53500,53550,7,17,17,116
53550,53600,5,15,15,134
53600,53650,5,14,14,96
53650,53700,8,11,11,96
53700,53750,11,13,13,68
53750,53800,2,12,11,74
53800,53850,2,10,11,77
53850,53900,13,13,12,102
53900,53950,5,6,7,107
53950,54000,2,6,6,95
54000,54050,5,12,12,105
54050,54100,3,9,8,100
54100,54150,9,4,5,85
54150,54200,8,6,6,108
54200,54250,6,5,5,112
54250,54300,1,7,7,97
54300,54350,7,8,7,86
54350,54400,5,10,11,75
54400,54450,4,7,7,93
54450,54500,6,8,8,88
54500,54550,5,4,4,66
54550,54600,4,13,12,51
54600,54650,13,4,5,49
