condition,n_events,median_S_us,centre_S_us,score_S,score_S_at_zero,score_D,median_D_us,median_A_us,medD_minus_medA_us,neg_frac_obs,neg_frac_pred_indep,tv_pred_vs_obs,rho_DA,recovered_medD_us,recovery_err_us
redis_n12_feed9#pass,2633,50,400,0.5982,0.9909,0.4455,700,500,200,0.00456,0.11257,0.4812,0.711,900,200
redis_n1_feed1#fail,6219,50,400,0.6372,0.9621,0.4404,700,550,150,0.02283,0.1421,0.4637,0.807,950,250
redis_n1_feed1#pass,10763,50,400,0.6601,0.9929,0.4113,700,550,150,0.00437,0.13169,0.5113,0.749,950,250
redis_n2_feed1#fail,3256,100,400,0.5737,0.9625,0.4619,800,550,250,0.02088,0.14572,0.4702,0.8456,950,150
redis_n2_feed1#pass,2664,100,400,0.548,0.994,0.497,750,500,250,0.00563,0.10126,0.4134,0.8386,900,150
redis_n5_feed1#fail,52553,200,450,0.4461,0.7934,0.5041,1200,650,550,0.13147,0.25755,0.3401,0.7451,1100,-100
redis_n5_feed1#pass,5255,150,400,0.6266,0.9868,0.479,1250,750,500,0.00647,0.43877,0.6112,2.1588,1150,-100
redis_n5_feed2#fail,24020,250,450,0.4529,0.7899,0.5086,1200,650,550,0.12731,0.26848,0.3414,0.5845,1100,-100
redis_n5_feed2#pass,2899,150,400,0.6989,1.0,0.4061,1200,750,450,0.0,0.46842,0.6529,1.3196,1150,-50
redis_n5_feed3#fail,40258,400,450,0.4356,0.774,0.5062,1200,650,550,0.1397,0.25266,0.322,0.6829,1100,-100
redis_n5_feed3#pass,7393,150,850,0.6682,0.9912,0.3796,1150,700,450,0.00433,0.35623,0.581,1.8942,1550,400
redis_n5_feed4#fail,38792,400,450,0.445,0.7809,0.524,1250,650,600,0.13387,0.26091,0.3208,0.7085,1100,-150
redis_n5_feed4#pass,4781,600,900,0.6941,0.9879,0.4413,1350,750,600,0.00586,0.39241,0.5906,1.2668,1650,300
redis_n5_feed5#fail,50744,200,450,0.4669,0.7822,0.5294,1100,650,450,0.1374,0.25735,0.3292,0.7677,1100,0
redis_n5_feed5#pass,6523,100,100,0.7002,0.9915,0.4359,1200,700,500,0.00414,0.41803,0.6249,1.2957,800,-400
redis_n9_feed1#fail,3150,100,400,0.4883,0.9676,0.3587,800,550,250,0.01746,0.13478,0.4657,0.6646,950,150
redis_n9_feed1#pass,2579,100,400,0.4851,0.9891,0.3889,750,500,250,0.00582,0.11051,0.4582,0.7431,900,150
redis_n9_feed3#pass,2420,100,400,0.557,0.9934,0.486,700,500,200,0.00413,0.1026,0.4574,0.8663,900,200
redis_n9_feed4#fail,2456,100,400,0.5537,0.9601,0.4739,800,500,300,0.02158,0.11445,0.4219,0.7576,900,100
redis_n9_feed5#pass,3685,100,400,0.5821,0.994,0.5083,700,500,200,0.00326,0.09066,0.4576,0.7911,900,200
redis_n9_feed6#pass,2500,100,400,0.5344,0.9952,0.5264,750,500,250,0.0024,0.10583,0.4453,0.8605,900,150
redis_n9_feed7#fail,2256,600,400,0.5833,0.9628,0.4796,1100,500,600,0.02039,0.12828,0.456,0.8851,900,-200
redis_n9_feed8#pass,2145,500,400,0.5907,0.9916,0.5142,1050,500,550,0.00559,0.10161,0.4298,0.8133,900,-150
redis_n9_feed9#fail,2159,100,400,0.5526,0.9602,0.4887,700,500,200,0.02038,0.1189,0.4618,0.7827,900,200
redis_n9_feed9#pass,2942,50,400,0.5418,0.9918,0.4426,700,500,200,0.00476,0.10774,0.4859,0.7009,900,200
