run_id,condition,gate,n_events,neg_ack,ms_deleted,over_0.1,over_0.25,over_0.5,over_1
concurrency_n12_20260723_050408_redis_feed4_rep3,redis_n12_feed4,fail,112,15,63,111,105,71,15
concurrency_n12_20260723_050408_redis_feed5_rep1,redis_n12_feed5,fail,145,26,93,144,142,99,26
concurrency_n12_20260723_050408_redis_feed5_rep2,redis_n12_feed5,fail,145,20,86,145,136,97,20
concurrency_n12_20260723_050408_redis_feed5_rep3,redis_n12_feed5,fail,145,11,90,145,140,100,11
concurrency_n12_20260723_050408_redis_feed6_rep1,redis_n12_feed6,fail,125,23,74,124,121,81,23
concurrency_n12_20260723_050408_redis_feed6_rep2,redis_n12_feed6,fail,125,19,69,125,123,84,19
concurrency_n12_20260723_050408_redis_feed6_rep3,redis_n12_feed6,fail,125,19,76,125,121,84,19
concurrency_n12_20260723_050408_redis_feed7_rep1,redis_n12_feed7,fail,94,18,54,91,88,61,18
concurrency_n12_20260723_050408_redis_feed7_rep2,redis_n12_feed7,fail,94,15,58,94,89,56,15
concurrency_n12_20260723_050408_redis_feed7_rep3,redis_n12_feed7,fail,94,11,47,91,83,52,11
concurrency_n12_20260723_050408_redis_feed8_rep1,redis_n12_feed8,fail,143,19,88,142,139,94,19
concurrency_n12_20260723_050408_redis_feed8_rep2,redis_n12_feed8,fail,143,33,84,142,136,97,33
concurrency_n12_20260723_050408_redis_feed8_rep3,redis_n12_feed8,fail,143,29,83,141,137,93,29
concurrency_n12_20260723_050408_redis_feed9_rep1,redis_n12_feed9,fail,127,28,83,127,125,82,28
concurrency_n12_20260723_050408_redis_feed9_rep2,redis_n12_feed9,fail,127,31,82,126,121,74,31
concurrency_n12_20260723_050408_redis_feed9_rep3,redis_n12_feed9,fail,127,25,82,125,123,85,25
concurrency_n12_20260724_062751_kafka_feed10_rep1,kafka_n12_feed10,fail,144,2,59,144,144,144,2
concurrency_n12_20260724_062751_kafka_feed10_rep10,kafka_n12_feed10,fail,144,2,77,144,144,144,2
concurrency_n12_20260724_062751_kafka_feed10_rep11,kafka_n12_feed10,fail,144,2,77,144,144,144,2
concurrency_n12_20260724_062751_kafka_feed10_rep12,kafka_n12_feed10,fail,144,2,50,144,144,144,2
concurrency_n12_20260724_062751_kafka_feed10_rep13,kafka_n12_feed10,fail,144,5,42,144,144,141,5
concurrency_n12_20260724_062751_kafka_feed10_rep14,kafka_n12_feed10,fail,144,2,56,144,144,142,2
concurrency_n12_20260724_062751_kafka_feed10_rep15,kafka_n12_feed10,fail,144,3,68,144,144,144,3
concurrency_n12_20260724_062751_kafka_feed10_rep2,kafka_n12_feed10,fail,144,2,68,144,144,144,2
concurrency_n12_20260724_062751_kafka_feed10_rep3,kafka_n12_feed10,fail,144,2,70,144,144,144,2
concurrency_n12_20260724_062751_kafka_feed10_rep4,kafka_n12_feed10,fail,144,2,55,144,144,144,2
concurrency_n12_20260724_062751_kafka_feed10_rep5,kafka_n12_feed10,fail,144,2,73,144,144,144,2
concurrency_n12_20260724_062751_kafka_feed10_rep6,kafka_n12_feed10,fail,144,2,70,144,144,141,2
concurrency_n12_20260724_062751_kafka_feed10_rep7,kafka_n12_feed10,fail,144,7,74,144,144,141,7
concurrency_n12_20260724_062751_kafka_feed10_rep8,kafka_n12_feed10,fail,144,2,54,144,144,144,2
concurrency_n12_20260724_062751_kafka_feed10_rep9,kafka_n12_feed10,fail,144,2,62,144,144,144,2
concurrency_n12_20260724_062751_kafka_feed12_rep1,kafka_n12_feed12,pass,148,1,78,148,148,148,1
concurrency_n12_20260724_062751_kafka_feed12_rep10,kafka_n12_feed12,pass,148,1,65,148,148,148,1
concurrency_n12_20260724_062751_kafka_feed12_rep11,kafka_n12_feed12,fail,148,4,76,148,148,148,4
concurrency_n12_20260724_062751_kafka_feed12_rep12,kafka_n12_feed12,pass,148,1,81,148,148,148,1
concurrency_n12_20260724_062751_kafka_feed12_rep13,kafka_n12_feed12,fail,148,2,67,148,148,148,2
concurrency_n12_20260724_062751_kafka_feed12_rep14,kafka_n12_feed12,pass,148,1,54,148,148,148,1
concurrency_n12_20260724_062751_kafka_feed12_rep15,kafka_n12_feed12,pass,148,1,64,148,148,148,1
concurrency_n12_20260724_062751_kafka_feed12_rep2,kafka_n12_feed12,pass,148,1,69,148,148,147,1
concurrency_n12_20260724_062751_kafka_feed12_rep3,kafka_n12_feed12,pass,148,1,62,148,148,147,1
concurrency_n12_20260724_062751_kafka_feed12_rep4,kafka_n12_feed12,pass,148,1,79,148,148,147,1
concurrency_n12_20260724_062751_kafka_feed12_rep5,kafka_n12_feed12,pass,148,1,65,148,148,148,1
concurrency_n12_20260724_062751_kafka_feed12_rep6,kafka_n12_feed12,pass,148,1,83,148,148,148,1
concurrency_n12_20260724_062751_kafka_feed12_rep7,kafka_n12_feed12,fail,148,3,56,148,148,146,3
concurrency_n12_20260724_062751_kafka_feed12_rep8,kafka_n12_feed12,pass,148,1,68,148,148,148,1
concurrency_n12_20260724_062751_kafka_feed12_rep9,kafka_n12_feed12,pass,148,1,76,148,148,148,1
concurrency_n12_20260724_062751_kafka_feed1_rep1,kafka_n12_feed1,pass,148,1,82,148,148,148,1
concurrency_n12_20260724_062751_kafka_feed1_rep10,kafka_n12_feed1,pass,148,1,79,148,148,148,1
concurrency_n12_20260724_062751_kafka_feed1_rep11,kafka_n12_feed1,pass,148,1,76,148,148,148,1
concurrency_n12_20260724_062751_kafka_feed1_rep12,kafka_n12_feed1,fail,148,6,84,148,148,148,6
concurrency_n12_20260724_062751_kafka_feed1_rep13,kafka_n12_feed1,pass,148,1,69,148,148,148,1
concurrency_n12_20260724_062751_kafka_feed1_rep14,kafka_n12_feed1,fail,148,6,57,148,148,148,6
concurrency_n12_20260724_062751_kafka_feed1_rep15,kafka_n12_feed1,pass,148,1,70,148,148,148,1
concurrency_n12_20260724_062751_kafka_feed1_rep2,kafka_n12_feed1,pass,148,1,74,148,148,147,1
concurrency_n12_20260724_062751_kafka_feed1_rep3,kafka_n12_feed1,fail,148,2,65,148,148,148,2
concurrency_n12_20260724_062751_kafka_feed1_rep4,kafka_n12_feed1,pass,148,1,80,148,148,147,1
concurrency_n12_20260724_062751_kafka_feed1_rep5,kafka_n12_feed1,pass,148,1,59,148,148,148,1
concurrency_n12_20260724_062751_kafka_feed1_rep6,kafka_n12_feed1,pass,148,1,80,148,148,148,1
concurrency_n12_20260724_062751_kafka_feed1_rep7,kafka_n12_feed1,pass,148,1,69,148,148,148,1
concurrency_n12_20260724_062751_kafka_feed1_rep8,kafka_n12_feed1,pass,148,1,81,148,148,148,1
concurrency_n12_20260724_062751_kafka_feed1_rep9,kafka_n12_feed1,pass,148,1,74,148,148,148,1
concurrency_n12_20260724_062751_kafka_feed2_rep1,kafka_n12_feed2,pass,71,0,28,71,71,71,0
concurrency_n12_20260724_062751_kafka_feed2_rep10,kafka_n12_feed2,pass,71,0,42,71,71,71,0
concurrency_n12_20260724_062751_kafka_feed2_rep11,kafka_n12_feed2,pass,71,0,29,71,71,71,0
concurrency_n12_20260724_062751_kafka_feed2_rep12,kafka_n12_feed2,pass,71,0,31,71,71,71,0
concurrency_n12_20260724_062751_kafka_feed2_rep13,kafka_n12_feed2,pass,71,0,37,71,71,71,0
concurrency_n12_20260724_062751_kafka_feed2_rep14,kafka_n12_feed2,pass,71,0,37,71,71,71,0
concurrency_n12_20260724_062751_kafka_feed2_rep15,kafka_n12_feed2,pass,71,0,43,71,71,71,0
concurrency_n12_20260724_062751_kafka_feed2_rep2,kafka_n12_feed2,pass,71,0,27,71,71,67,0
concurrency_n12_20260724_062751_kafka_feed2_rep3,kafka_n12_feed2,pass,71,0,45,71,71,71,0
concurrency_n12_20260724_062751_kafka_feed2_rep4,kafka_n12_feed2,fail,71,5,42,71,71,71,5
concurrency_n12_20260724_062751_kafka_feed2_rep5,kafka_n12_feed2,pass,71,0,35,71,71,68,0
concurrency_n12_20260724_062751_kafka_feed2_rep6,kafka_n12_feed2,pass,71,0,40,71,71,71,0
concurrency_n12_20260724_062751_kafka_feed2_rep7,kafka_n12_feed2,pass,71,0,29,71,71,71,0
concurrency_n12_20260724_062751_kafka_feed2_rep8,kafka_n12_feed2,pass,71,0,34,71,71,71,0
concurrency_n12_20260724_062751_kafka_feed2_rep9,kafka_n12_feed2,pass,71,0,27,71,71,71,0
concurrency_n12_20260724_062751_kafka_feed3_rep1,kafka_n12_feed3,pass,121,0,49,121,121,121,0
concurrency_n12_20260724_062751_kafka_feed3_rep10,kafka_n12_feed3,pass,121,0,47,121,121,119,0
concurrency_n12_20260724_062751_kafka_feed3_rep11,kafka_n12_feed3,pass,121,0,54,121,121,121,0
concurrency_n12_20260724_062751_kafka_feed3_rep12,kafka_n12_feed3,pass,121,0,69,121,121,121,0
concurrency_n12_20260724_062751_kafka_feed3_rep13,kafka_n12_feed3,pass,121,0,43,121,121,121,0
