scenario,backend,n_produced_median,n_produced_iqr,n_consumed_median,n_consumed_iqr,n_matched_median,n_matched_iqr,tti_p50_ms_median,tti_p50_ms_iqr,tti_p95_ms_median,tti_p95_ms_iqr,tti_p99_ms_median,tti_p99_ms_iqr,tti_max_ms_median,tti_max_ms_iqr,transport_p50_ms_median,transport_p50_ms_iqr,transport_p95_ms_median,transport_p95_ms_iqr,transport_p99_ms_median,transport_p99_ms_iqr,transport_max_ms_median,transport_max_ms_iqr,schedlag_p50_ms_median,schedlag_p50_ms_iqr,schedlag_p95_ms_median,schedlag_p95_ms_iqr,schedlag_p99_ms_median,schedlag_p99_ms_iqr,schedlag_max_ms_median,schedlag_max_ms_iqr,tti_miss_100ms_median,tti_miss_100ms_iqr,schedlag_miss_100ms_median,schedlag_miss_100ms_iqr,tti_miss_250ms_median,tti_miss_250ms_iqr,schedlag_miss_250ms_median,schedlag_miss_250ms_iqr,tti_miss_500ms_median,tti_miss_500ms_iqr,schedlag_miss_500ms_median,schedlag_miss_500ms_iqr,tti_miss_1000ms_median,tti_miss_1000ms_iqr,schedlag_miss_1000ms_median,schedlag_miss_1000ms_iqr,tti_miss_2000ms_median,tti_miss_2000ms_iqr,schedlag_miss_2000ms_median,schedlag_miss_2000ms_iqr,tti_miss_5000ms_median,tti_miss_5000ms_iqr,schedlag_miss_5000ms_median,schedlag_miss_5000ms_iqr
s2sf12,kafka,40660.0,0.0,40660.0,0.0,40660.0,0.0,173.4891845,524.3442895,434.0320507,981.8165272000003,487.37892661,947.3903008100002,516.840941,952.0237870000001,0.9719355,0.05224699999999993,1.17944625,0.14652399999999988,1.3533446799999984,0.3150429499999934,93.86396,1.888294000000002,172.4989725,524.2288990000001,433.032221,981.7502143000002,486.42695611,947.3698230000002,515.863425,951.9847050000001,0.6840629611411707,0.30735366453516966,0.6818494835218888,0.309886866699459,0.3700934579439252,0.49392523364485985,0.3685194294146581,0.49409739301524846,0.0040088539104771,0.584628627643876,0.0037629119527791,0.5837432365961633,0.0,0.2168962124938514,0.0,0.2166010821446138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2sf12,redis,40660.0,0.0,40660.0,0.0,40660.0,0.0,2.507899,0.03139599999999998,5.551818699999997,0.040413199999995264,7.27481738999997,0.044446609999991615,40.550693,1.426957999999999,0.902048,0.0071070000000000855,1.4432047499999996,0.016225649999999314,1.7352055599999998,0.018680070000002935,7.957783,3.253564000000001,1.5999275,0.02084549999999985,4.24501715,0.04230324999999979,5.819681629999996,0.05671019999999061,38.687604,1.4452739999999977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2sf12j2,kafka,40660.0,0.0,40660.0,0.0,40660.0,0.0,319.164728,63.06423049999995,572.94254995,26.65002585000002,645.9691326199994,94.9240130799999,735.247631,130.294626,0.958374,0.004644500000000051,1.1586661999999996,0.004042699999999844,1.318379649999998,0.06293993999999681,92.854829,1.9838380000000058,318.20727850000003,63.065999999999974,571.9553942499997,26.6417717999999,644.9809864899999,94.88217871000006,734.237809,130.079883,0.9101819970486964,0.02528283325135261,0.9094441711756026,0.025823905558288174,0.6682488932611904,0.11992129857353662,0.6658140678799803,0.11969995081160845,0.1463108706345302,0.03954746679783569,0.1444417117560255,0.03873585833743229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2sf12j2,redis,40660.0,0.0,40660.0,0.0,40660.0,0.0,169.027049,0.07878900000002886,263.8878772,0.08164269999997487,271.38753732,0.02473507999997082,281.878346,1.7496899999999869,1.1930685,0.00970749999999998,2.081632599999999,0.013081150000000985,2.4522659899999986,0.05950543999999525,6.717977,2.5654710000000005,167.79188349999998,0.10291399999996997,262.82131815,0.03295924999997624,270.28953869,0.08986643000002914,280.3202,1.3512519999999881,0.7233152975897689,0.00034431874077722746,0.7191342843089031,0.0006640432857845102,0.1263649778652238,0.00012297097884900188,0.1232661091982292,0.00019675356615840578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
