timestamp,backend,kafka_cpu_pct,kafka_mem_mib,redis_cpu_pct,redis_mem_mib
2026-06-12 19:23:43.713,redis,1.41,1103.87,0.24,129.3
2026-06-12 19:23:45.821,redis,1.76,1103.87,7.29,129.5
2026-06-12 19:23:47.791,redis,1.7,1103.87,0.46,129.5
2026-06-12 19:23:49.806,redis,1.5,1103.87,0.24,129.5
2026-06-12 19:23:51.819,redis,1.43,1103.87,0.25,129.5
2026-06-12 19:23:53.827,redis,1.42,1103.87,0.23,129.5
2026-06-12 19:23:55.831,redis,1.64,1103.87,0.23,129.5
2026-06-12 19:23:57.847,redis,1.58,1103.87,0.23,129.7
2026-06-12 19:23:59.859,redis,1.51,1103.87,0.25,129.7
2026-06-12 19:24:01.858,redis,1.41,1103.87,0.26,129.7
2026-06-12 19:24:03.889,redis,1.42,1103.87,0.26,129.7
2026-06-12 19:24:05.893,redis,1.67,1103.87,0.25,129.8
2026-06-12 19:24:07.894,redis,1.51,1103.87,0.25,129.8
2026-06-12 19:24:09.910,redis,1.65,1103.87,0.23,129.8
2026-06-12 19:24:11.911,redis,1.41,1103.87,0.24,129.8
2026-06-12 19:24:13.941,redis,1.39,1103.87,0.24,129.8
2026-06-12 19:24:15.941,redis,1.68,1103.87,0.22,130
2026-06-12 19:24:17.948,redis,1.62,1103.87,0.28,129.9
