backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_runs
kafka,single,5,78.443006,205.65427899999997,16.660785,23.4939707,39.298428,15
redis,single,5,87624.021036,91585.8743482,87490.46245,91422.2417072,110.083504,15
