n,margin,n_kafka,n_redis,mean_kafka,mean_redis,mean_diff,ci90_lo,ci90_hi,p_tost,equivalent
1,0.04,18,18,0.014032224479777942,0.011995989233756471,0.0020362352460214714,-0.001053744369267584,0.005126214861310527,3.772304327739527e-21,True
5,0.04,15,15,0.018133555241449894,0.013730129514224162,0.004403425727225732,-0.0010114263427617948,0.009818277797213257,5.919890088260598e-11,True
10,0.04,30,30,0.01368858439158249,0.013699617722426548,-1.1033330844057582e-05,-0.003916171967101345,0.003894105305413229,1.7175330648010366e-22,True
