n,margin,n_kafka,n_redis,mean_kafka,mean_redis,mean_diff,ci90_lo,ci90_hi,p_tost,equivalent
1,40.0,18,18,1.004977777777778,1.0234555555555556,-0.018477777777777593,-0.032048832401389594,-0.004906723154165592,1.1127823115002671e-71,True
5,40.0,15,15,1.0008933333333332,1.2074333333333331,-0.20653999999999995,-0.22471543334816182,-0.18836456665183807,5.899583466038477e-44,True
10,40.0,30,30,1.0021683333333333,1.3413216666666663,-0.339153333333333,-0.35577161981305894,-0.322535046853607,1.443857241922945e-85,True
