n,margin,n_kafka,n_redis,mean_kafka,mean_redis,mean_diff,ci90_lo,ci90_hi,p_tost,equivalent
1,40.0,18,18,10.734142944444445,9.617444722222224,1.1166982222222206,-1.5642881020684198,3.797684546512861,2.1968749249611823e-23,True
5,40.0,15,15,12.002553666666667,9.844848066666668,2.1577056,-0.6993385295455599,5.01474972954556,1.2562799602811058e-19,True
10,40.0,30,30,10.732344183333334,11.778373666666669,-1.046029483333335,-3.073244732662478,0.9811857659958081,4.418790884373595e-37,True
