first_mean_ms,last_mean_ms,growth,n_events,run_id,backend
195.3609212673797,45.94369001605995,0.23517338942714835,3739,concurrency_n5_20260721_175635_kafka_feed1_rep1,kafka
198.75094479679143,44.281783056745184,0.22280036506000073,3739,concurrency_n5_20260721_175635_kafka_feed1_rep2,kafka
147.71325303208553,48.16325960920771,0.32605916273975716,3739,concurrency_n5_20260721_175635_kafka_feed1_rep3,kafka
192.63302273747678,41.48989628690807,0.21538309318569504,4311,concurrency_n5_20260721_175635_kafka_feed2_rep1,kafka
191.8804089155844,46.12068802321263,0.24036163089220275,4311,concurrency_n5_20260721_175635_kafka_feed2_rep2,kafka
149.26496958348793,42.70248774466109,0.28608512676362713,4311,concurrency_n5_20260721_175635_kafka_feed2_rep3,kafka
171.98364635979902,34.74307588430584,0.20201383456902325,3977,concurrency_n5_20260721_175635_kafka_feed3_rep1,kafka
183.0775313849246,47.29506149798793,0.2583335111644531,3977,concurrency_n5_20260721_175635_kafka_feed3_rep2,kafka
137.6902336964824,46.00696079376258,0.33413379844483426,3977,concurrency_n5_20260721_175635_kafka_feed3_rep3,kafka
214.38883404415827,37.73980174677717,0.17603436258720356,4346,concurrency_n5_20260721_175635_kafka_feed4_rep1,kafka
212.51223827598895,46.93682789779005,0.22086646999046403,4346,concurrency_n5_20260721_175635_kafka_feed4_rep2,kafka
167.60438749402024,47.13330653499079,0.2812176175082075,4346,concurrency_n5_20260721_175635_kafka_feed4_rep3,kafka
259.0707202870633,43.24200460680529,0.16691197121346243,4233,concurrency_n5_20260721_175635_kafka_feed5_rep1,kafka
255.763233223796,49.88848352930057,0.19505729146631304,4233,concurrency_n5_20260721_175635_kafka_feed5_rep2,kafka
221.52179762417373,45.66390006994329,0.20613727660072123,4233,concurrency_n5_20260721_175635_kafka_feed5_rep3,kafka
5378.080669074866,7570.269714855462,1.4076155008953584,3739,concurrency_n5_20260721_175635_redis_feed1_rep1,redis
5046.836817631016,7568.886466889722,1.4997287886241892,3739,concurrency_n5_20260721_175635_redis_feed1_rep2,redis
5035.091833887701,7611.717962178801,1.5117336909228987,3739,concurrency_n5_20260721_175635_redis_feed1_rep3,redis
4137.8666900844155,16013.169152832872,3.869909388624164,4311,concurrency_n5_20260721_175635_redis_feed2_rep1,redis
4183.747189064007,16006.017023213557,3.8257610462343545,4311,concurrency_n5_20260721_175635_redis_feed2_rep2,redis
4405.670131735621,16055.357372238626,3.64424863690682,4311,concurrency_n5_20260721_175635_redis_feed2_rep3,redis
5270.405120530653,11027.352511598592,2.0923159148889674,3977,concurrency_n5_20260721_175635_redis_feed3_rep1,redis
5271.79223560603,10974.646500733399,2.081767643764471,3977,concurrency_n5_20260721_175635_redis_feed3_rep2,redis
5215.4977418371855,10995.054204455735,2.1081505061840313,3977,concurrency_n5_20260721_175635_redis_feed3_rep3,redis
5188.621567806808,14047.416806627072,2.7073504249732383,4346,concurrency_n5_20260721_175635_redis_feed4_rep1,redis
5435.62200276541,14128.994852391344,2.599333589643121,4346,concurrency_n5_20260721_175635_redis_feed4_rep2,redis
5310.486864678934,14110.170927713629,2.6570390412907487,4346,concurrency_n5_20260721_175635_redis_feed4_rep3,redis
5996.602578455146,13133.159004134215,2.190099949481328,4233,concurrency_n5_20260721_175635_redis_feed5_rep1,redis
5912.00535333711,13117.10111689414,2.2187228077339305,4233,concurrency_n5_20260721_175635_redis_feed5_rep2,redis
5989.741242100095,13191.498661412099,2.202348670539056,4233,concurrency_n5_20260721_175635_redis_feed5_rep3,redis
