backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_runs
kafka,single,5,12.371339,128.8270055,5.605697,11.070554,0.309706,15
redis,single,5,4650.816265,5504.128796,4645.212047,5498.3424171999995,0.328081,15
