row_idx,match_id,event_id,period,minute,second,t_sim_seconds,t_emit_offset_s,event_type,team,player,timestamp,possession
0,3895060,207c41be-4905-457d-af38-e356b67981de,1,0,0,0,0.0,Starting XI,Borussia Mönchengladbach,,00:00:00.000,1
1,3895060,fefef503-f3cc-4d41-9b3f-9ddc57b6a93b,1,0,0,0,0.0,Starting XI,Bayer Leverkusen,,00:00:00.000,1
2,3895060,2f46ad65-50a4-4834-9bd9-86a61f034234,1,0,0,0,0.0,Half Start,Borussia Mönchengladbach,,00:00:00.000,1
3,3895060,3b3a42a2-e2a1-49f8-9b77-5ec638303a06,1,0,0,0,0.0,Half Start,Bayer Leverkusen,,00:00:00.000,1
4,3895060,69bdfb9b-ba46-41c8-814a-98f0a43c6501,1,0,0,0,0.0,Pass,Borussia Mönchengladbach,Alassane Pléa,00:00:00.725,2
5,3895060,ceaa47dd-e3bf-4016-ade0-ed3d54afe971,1,0,2,2,0.016666666666666666,Ball Receipt*,Borussia Mönchengladbach,Ko Itakura,00:00:02.000,2
6,3895060,70432a35-52ff-429b-8a11-c47bba8fab19,1,0,2,2,0.016666666666666666,Carry,Borussia Mönchengladbach,Ko Itakura,00:00:02.000,2
7,3895060,748f1afc-2300-4252-bc9b-f161b5e7c6ef,1,0,3,3,0.025,Pass,Borussia Mönchengladbach,Ko Itakura,00:00:03.462,2
8,3895060,c744951c-c660-4c83-8083-049bf85c8cbd,1,0,6,6,0.05,Ball Receipt*,Borussia Mönchengladbach,Tomáš Čvančara,00:00:06.306,2
9,3895060,33fdf203-b847-4fa5-9021-5f1875717796,1,0,6,6,0.05,Clearance,Bayer Leverkusen,Edmond Fayçal Tapsoba,00:00:06.306,2
10,3895060,1739877d-1a9a-45a1-a72d-189cd19ce825,1,0,8,8,0.06666666666666667,Duel,Bayer Leverkusen,Victor Okoh Boniface,00:00:08.356,2
11,3895060,2da5d3ff-deec-4d16-b866-8a7d1fbb93e9,1,0,8,8,0.06666666666666667,Clearance,Borussia Mönchengladbach,Florian Neuhaus,00:00:08.356,2
12,3895060,ed38d77f-8234-4921-88d2-52ae89331fc2,1,0,10,10,0.08333333333333333,Ball Recovery,Bayer Leverkusen,Granit Xhaka,00:00:10.859,3
