timestamp,backend,kafka_cpu_pct,kafka_mem_mib,redis_cpu_pct,redis_mem_mib
2026-06-12 19:28:52.065,kafka,178.76,1207.3,0.22,130.3
2026-06-12 19:28:54.006,kafka,2.34,1119.23,0.23,130.3
2026-06-12 19:28:55.962,kafka,12.21,1120.26,0.21,130.3
2026-06-12 19:28:57.977,kafka,36.54,1117.18,0.22,130.3
2026-06-12 19:28:59.990,kafka,34.35,1117.18,0.22,130.3
2026-06-12 19:29:02.003,kafka,33.2,1118.21,0.2,130.3
2026-06-12 19:29:04.011,kafka,1.7,1118.21,0.23,130.3
2026-06-12 19:29:06.019,kafka,2.03,1118.21,0.23,130.3
2026-06-12 19:29:08.032,kafka,1.63,1117.18,0.23,130.3
2026-06-12 19:29:10.039,kafka,1.6,1117.18,0.25,130.2
2026-06-12 19:29:12.039,kafka,1.61,1117.18,0.23,130.2
2026-06-12 19:29:14.059,kafka,1.72,1117.18,0.22,130.2
2026-06-12 19:29:16.071,kafka,1.74,1117.18,0.22,130.2
2026-06-12 19:29:18.082,kafka,1.71,1117.18,0.24,130.2
2026-06-12 19:29:20.084,kafka,1.63,1117.18,0.23,130.2
2026-06-12 19:29:22.105,kafka,1.63,1117.18,0.21,130.2
2026-06-12 19:29:24.117,kafka,1.67,1117.18,0.21,130.2
2026-06-12 19:29:26.122,kafka,1.71,1117.18,0.23,130.2
2026-06-12 19:29:28.134,kafka,1.55,1117.18,0.22,130.2
2026-06-12 19:29:30.136,kafka,1.77,1117.18,0.22,130.2
2026-06-12 19:29:32.153,kafka,1.7,1117.18,0.2,130.2
2026-06-12 19:29:34.177,kafka,1.56,1103.87,0.23,130.2
