backend,config,n_concurrency,decision_staleness_prob_s,mean_decisive_latency_ms,n_decisive
kafka,single,1,0.01403222447977799,11.928702444444445,5.0
kafka,single,5,0.01813355524144994,14.207170728888888,4.6
kafka,single,10,0.013688584391582543,12.435683035,4.0
redis,single,1,0.01199598923375652,9.929860533333333,5.0
redis,single,5,0.01373012951422421,11.222839034444444,4.6
redis,single,10,0.013699617722426604,12.486350951111111,4.0
