timestamp,backend,kafka_cpu_pct,kafka_mem_mib,redis_cpu_pct,redis_mem_mib
2026-06-12 19:27:09.341,kafka,149.29,1179.65,0.2,130.4
2026-06-12 19:27:10.966,kafka,4.25,1116.16,0.21,130.4
2026-06-12 19:27:12.942,kafka,2.63,1116.16,0.25,130.4
2026-06-12 19:27:14.941,kafka,2.11,1116.16,0.24,130.4
2026-06-12 19:27:16.956,kafka,1.94,1116.16,0.22,130.4
2026-06-12 19:27:18.970,kafka,1.75,1116.16,0.3,130.4
2026-06-12 19:27:20.975,kafka,1.88,1116.16,0.23,130.4
2026-06-12 19:27:22.988,kafka,1.65,1116.16,0.23,130.4
2026-06-12 19:27:25.001,kafka,1.52,1116.16,0.22,130.4
2026-06-12 19:27:27.005,kafka,1.49,1116.16,0.24,130.4
2026-06-12 19:27:29.017,kafka,1.52,1116.16,0.23,130.4
2026-06-12 19:27:31.033,kafka,1.85,1116.16,0.24,130.4
2026-06-12 19:27:33.056,kafka,1.61,1116.16,0.22,130.4
2026-06-12 19:27:35.058,kafka,1.55,1116.16,0.23,130.4
2026-06-12 19:27:37.068,kafka,1.64,1116.16,0.24,130.4
2026-06-12 19:27:39.071,kafka,1.49,1116.16,0.23,130.4
2026-06-12 19:27:41.089,kafka,1.84,1116.16,0.22,130.4
2026-06-12 19:27:43.086,kafka,1.49,1116.16,0.21,130.4
2026-06-12 19:27:45.116,kafka,1.91,1116.16,0.25,130.4
2026-06-12 19:27:47.120,kafka,1.5,1116.16,0.22,130.4
