backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_runs
kafka,single,5,15.455415499999999,26.506359399999997,0.713775,1.6248375,11.3227655,10
redis,single,5,13.7831145,25.25608105,0.0,2.35435,11.090717999999999,10
