backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_runs
kafka,single,5,77.986727,221.2061785,18.632115499999998,24.62771674999999,35.268788,15
redis,single,5,45543.09651,45714.0564364,45412.003791,45631.793330399996,105.085234,15
