level,occ_base,occ_rt,occ_fall,agg_base_ms,agg_rt_ms,agg_fall,med_base_ms,med_rt_ms,med_fall,wait_fall,p90_base_ms,p90_rt_ms,slices_base,slices_rt,slice_ratio
l75,0.5568174009753664,0.31866726757883007,1.7473316453426584,0.24606187668435134,0.07566857145689485,3.2518372151973596,0.3691215886911001,0.018445178991404847,20.011819286931548,3.266560701687678,1.288635,0.16778804329801936,466129,464028,1.0045277440154474
l88,0.6049157142482753,0.28127308496802045,2.150634904569883,0.32974667801757157,0.06433491830620927,5.125469755756978,0.6074691557019737,0.004249644888693772,142.94586291625265,20.473383519382168,1.5654168403141362,0.09884654049426828,434679,108821,3.9944404113176684
