campaign,stamp,backend,run,median_ms
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed1_rep12,0.088776
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed1_rep13,0.121686
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed1_rep14,0.134816
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed1_rep15,0.096718
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed1_rep2,0.101655
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed1_rep3,0.091986
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed1_rep4,0.135993
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed1_rep5,0.122352
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed1_rep6,0.090518
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed1_rep7,0.114535
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed1_rep8,0.126478
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed1_rep9,0.101049
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed2_rep1,0.082035
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed2_rep10,0.107605
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed2_rep11,0.102346
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed2_rep12,0.109077
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed2_rep13,0.108346
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed2_rep14,0.132632
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed2_rep15,0.114625
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed2_rep2,0.099713
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed2_rep3,0.122397
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed2_rep4,0.125601
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed2_rep5,0.107494
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed2_rep6,0.133614
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed2_rep7,0.089417
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed2_rep8,0.144590
E-C4,callback,redis,concurrency_n2_20260724_142735_redis_feed2_rep9,0.134846
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed1_rep1,0.401467
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed1_rep10,0.343554
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed1_rep11,0.344946
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed1_rep12,0.287343
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed1_rep13,0.401438
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed1_rep14,0.345453
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed1_rep15,0.395350
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed1_rep2,0.330626
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed1_rep3,0.319913
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed1_rep4,0.330024
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed1_rep5,0.396661
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed1_rep6,0.423651
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed1_rep7,0.324350
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed1_rep8,0.412249
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed1_rep9,0.341180
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed2_rep1,0.301741
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed2_rep10,0.378318
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed2_rep11,0.315212
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed2_rep12,0.242580
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed2_rep13,0.318607
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed2_rep14,0.342393
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed2_rep15,0.413972
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed2_rep2,0.374362
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed2_rep3,0.345647
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed2_rep4,0.332897
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed2_rep5,0.380310
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed2_rep6,0.360951
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed2_rep7,0.364837
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed2_rep8,0.315922
E-C4,inline,kafka,concurrency_n2_20260724_152034_kafka_feed2_rep9,0.329513
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed1_rep1,0.106252
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed1_rep10,0.104315
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed1_rep11,0.128837
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed1_rep12,0.108266
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed1_rep13,0.103473
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed1_rep14,0.087219
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed1_rep15,0.106728
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed1_rep2,0.097103
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed1_rep3,0.098064
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed1_rep4,0.131846
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed1_rep5,0.100418
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed1_rep6,0.121841
