level,rho_base,rho_rt,inv_base,inv_rt,ratio,disjoint,n_base,n_rt,confounded
l60,0.60553,0.60349,0.04589614740368509,0.0016750418760469012,0.03649635036496351,True,2985,2985,False
l70,0.70324,0.7025,0.10318257956448912,0.01440536013400335,0.1396103896103896,True,2985,2985,False
l88,0.8806,0.88089,0.22144053601340033,0.0033500837520938024,0.015128593040847202,True,2985,2985,False
l95,0.95012,0.95012,0.29380234505862646,0.0036850921273031824,0.012542759407069556,True,2985,2985,False
