tag,arm,rho,inversion,n_events,p_tail,estimator,traced_events
l88_base,base,0.88221,0.23149078726968175,2985,0.18068469225807854,exact counter,551956
l88_rt,rt,0.88191,0.0,2985,0.018451044618649787,exact counter,570591
