level,rho_base,rho_rt,inv_base,inv_rt,ratio,disjoint,n_base,n_rt,confounded
l75,0.75312,0.7525,0.1319932998324958,0.0033500837520938024,0.02538071065989848,True,2985,2985,False
l88,0.88089,0.88119,0.304857621440536,0.005695142378559464,0.01868131868131868,True,2985,2985,False
