level,rho_base,rho_rt,inv_base,inv_rt,ratio,disjoint,n_base,n_rt,confounded
l75,0.755,0.75373,0.15041876046901173,0.004355108877721943,0.028953229398663693,True,2985,2985,False
l88,0.8825,0.8825,0.2525963149078727,0.005360134003350084,0.021220159151193633,True,2985,2985,False
