condition,rho,n_events,n_runs,mu,sigma_core,inversion,runs_z_median
ea3/bg0,0.0025,2985,25,0.5239,0.1255,0.00369,-6.847
ea3/bg2,0.2525,2985,25,0.5373,0.1377,0.00402,-6.847
ea3/bg4,0.50374,2985,25,0.6782,0.1795,0.00637,-6.847
ea3/bg5,0.62843,2985,25,0.6634,0.1813,0.02446,-6.92
ea3/bg6,0.75312,2985,25,0.7265,0.2384,0.07638,-5.737
ea3/bg7,0.8775,2985,25,0.8392,0.6314,0.22379,-4.923
ea3/bg10,1.0,2985,25,0.7296,1.2927,0.31658,-4.703
ea3/bg12,1.0,2985,25,0.7803,1.71,0.26064,-4.353
ea3/bg8,1.0,2985,25,0.6716,1.2242,0.37052,-4.301
