new_condition,old_condition,rho_new,rho_old,threshold_ms,tail_new,tail_old,ci_overlap
ea3/bg0,ea_sat/bg0,0.003,0.003,0.0,0.00369,0.00335,True
ea3/bg10,ea_sat/bg12,1.0,1.0,0.0,0.31658,0.25349,False
ea3/bg10,ea_sat/bg12,1.0,1.0,0.5,0.28911,0.23283,False
ea3/bg10,ea_sat/bg12,1.0,1.0,1.0,0.14539,0.16136,True
ea3/bg10,ea_sat/bg12,1.0,1.0,2.0,0.07906,0.10162,False
ea3/bg10,ea_sat/bg12,1.0,1.0,5.0,0.00168,0.00614,False
ea3/bg12,ea_sat/bg12,1.0,1.0,0.0,0.26064,0.25349,True
ea3/bg12,ea_sat/bg12,1.0,1.0,0.5,0.23752,0.23283,True
ea3/bg12,ea_sat/bg12,1.0,1.0,1.0,0.13333,0.16136,False
ea3/bg12,ea_sat/bg12,1.0,1.0,2.0,0.08442,0.10162,True
ea3/bg12,ea_sat/bg12,1.0,1.0,5.0,0.00335,0.00614,True
ea3/bg2,ea_sat/bg2,0.253,0.253,0.0,0.00402,0.00503,True
ea3/bg4,ea_sat/bg4,0.504,0.504,0.0,0.00637,0.00279,True
ea3/bg4,ea_sat/bg4,0.504,0.504,0.5,0.00402,0.00056,False
ea3/bg4,ea_sat/bg4,0.504,0.504,1.0,0.00201,0.00056,True
ea3/bg5,ea_knee/bg5,0.628,0.628,0.0,0.02446,0.01284,False
ea3/bg5,ea_knee/bg5,0.628,0.628,0.5,0.01977,0.00447,False
ea3/bg5,ea_knee/bg5,0.628,0.628,1.0,0.00838,0.00279,False
ea3/bg5,ea_knee/bg5,0.628,0.628,2.0,0.00168,0.0,True
ea3/bg6,ea_knee/bg6,0.753,0.753,0.0,0.07638,0.06924,True
ea3/bg6,ea_knee/bg6,0.753,0.753,0.5,0.06868,0.06198,True
ea3/bg6,ea_knee/bg6,0.753,0.753,1.0,0.01407,0.02066,True
ea3/bg6,ea_knee/bg6,0.753,0.753,2.0,0.00268,0.0134,False
ea3/bg7,ea_knee/bg7,0.877,0.878,0.0,0.22379,0.20994,True
ea3/bg7,ea_knee/bg7,0.877,0.878,0.5,0.20335,0.18258,True
ea3/bg7,ea_knee/bg7,0.877,0.878,1.0,0.07404,0.05751,True
ea3/bg7,ea_knee/bg7,0.877,0.878,2.0,0.03082,0.03238,True
ea3/bg8,ea_sat/bg12,1.0,1.0,0.0,0.37052,0.25349,False
ea3/bg8,ea_sat/bg12,1.0,1.0,0.5,0.33668,0.23283,False
ea3/bg8,ea_sat/bg12,1.0,1.0,1.0,0.15578,0.16136,True
ea3/bg8,ea_sat/bg12,1.0,1.0,2.0,0.08643,0.10162,True
ea3/bg8,ea_sat/bg12,1.0,1.0,5.0,0.0,0.00614,False
