pad_bytes,rho,transport_ms,inversion,ci_lo,ci_hi,n_events
0,0.88221,0.761322,0.2338358458961474,0.22133702261463437,0.24681675099095654,2985
4096,0.8825,2.473746,0.16515912897822446,0.15428386284547843,0.17664086556079991,2985
65536,0.885,16.058505,0.07839195979899498,0.0706760518540235,0.08687149261751352,2985
262144,0.895,58.481736,0.05494137353433836,0.04847534229357383,0.062213503817222314,2985
