timestamp,backend,kafka_cpu_pct,kafka_mem_mib,redis_cpu_pct,redis_mem_mib
2026-06-12 20:05:25.007,kafka,138.19,1270.78,0.23,138.3
2026-06-12 20:05:27.597,kafka,1.62,1118.21,0.22,138.3
2026-06-12 20:05:29.580,kafka,34.38,1117.18,0.2,138.3
2026-06-12 20:05:31.590,kafka,32.48,1118.21,0.24,138.2
2026-06-12 20:05:33.599,kafka,31.68,1118.21,0.21,138.2
2026-06-12 20:05:35.602,kafka,16.7,1119.23,0.23,138.2
2026-06-12 20:05:37.620,kafka,1.67,1119.23,0.21,138.2
2026-06-12 20:05:39.627,kafka,1.55,1119.23,0.24,138.2
2026-06-12 20:05:41.632,kafka,1.69,1119.23,0.21,138.2
2026-06-12 20:05:43.642,kafka,1.54,1119.23,0.22,138.2
