slot_ts,n_matches,competitions
2016-04-24 17:00:00,4,Ligue 1
2016-04-30 19:00:00,4,Ligue 1
2016-05-01 15:00:00,4,Serie A
2018-09-09 15:00:00,4,FA Women's Super League
2018-09-23 15:00:00,4,FA Women's Super League
2019-05-11 13:30:00,4,FA Women's Super League
2020-02-02 15:00:00,4,FA Women's Super League
2015-08-09 17:00:00,3,"Ligue 1, Premier League"
2015-08-21 20:30:00,3,"1. Bundesliga, La Liga, Ligue 1"
2015-08-22 18:30:00,3,"1. Bundesliga, La Liga"
2015-08-23 17:00:00,3,"Ligue 1, Premier League"
2015-08-28 20:30:00,3,"1. Bundesliga, La Liga, Ligue 1"
2015-08-29 18:30:00,3,"1. Bundesliga, La Liga, Premier League"
2015-09-11 20:30:00,3,"1. Bundesliga, La Liga, Ligue 1"
2015-09-13 15:00:00,3,Serie A
2015-09-18 20:30:00,3,"1. Bundesliga, La Liga, Ligue 1"
2015-09-25 20:30:00,3,"1. Bundesliga, La Liga, Ligue 1"
2015-09-27 17:00:00,3,"Ligue 1, Premier League"
2015-10-02 20:30:00,3,"1. Bundesliga, La Liga, Ligue 1"
2015-10-03 20:00:00,3,Ligue 1
2015-10-04 15:00:00,3,Serie A
2015-10-23 20:30:00,3,"1. Bundesliga, La Liga, Ligue 1"
2015-10-24 20:00:00,3,Ligue 1
2015-10-25 15:00:00,3,Serie A
2015-10-30 21:30:00,3,"1. Bundesliga, La Liga, Ligue 1"
2015-11-06 21:30:00,3,"1. Bundesliga, La Liga, Ligue 1"
2015-11-08 17:00:00,3,"La Liga, Premier League"
2015-11-27 21:30:00,3,"1. Bundesliga, La Liga, Ligue 1"
2015-12-11 21:30:00,3,"1. Bundesliga, La Liga, Ligue 1"
2015-12-13 16:00:00,3,Serie A
2015-12-13 17:00:00,3,"La Liga, Premier League"
2015-12-20 19:00:00,3,Serie A
2015-12-20 19:15:00,3,La Liga
2015-12-28 18:30:00,3,Premier League
2016-01-03 17:00:00,3,"La Liga, Premier League"
2016-01-12 20:45:00,3,Premier League
2016-01-22 21:30:00,3,"1. Bundesliga, La Liga, Ligue 1"
2016-02-02 21:00:00,3,Premier League
2016-02-12 21:30:00,3,"1. Bundesliga, La Liga, Ligue 1"
2016-02-14 16:00:00,3,Serie A
2016-02-19 21:30:00,3,"1. Bundesliga, La Liga, Ligue 1"
2016-02-20 21:00:00,3,Ligue 1
2016-02-26 21:30:00,3,"1. Bundesliga, La Liga, Ligue 1"
2016-03-02 20:45:00,3,Premier League
2016-03-02 23:00:00,3,La Liga
2016-03-11 21:30:00,3,"1. Bundesliga, La Liga, Ligue 1"
2016-03-18 21:30:00,3,"1. Bundesliga, La Liga, Ligue 1"
2016-03-20 17:00:00,3,"La Liga, Premier League"
2016-04-01 20:30:00,3,"1. Bundesliga, La Liga, Ligue 1"
2016-04-08 20:30:00,3,"1. Bundesliga, La Liga, Ligue 1"
2016-04-10 15:00:00,3,Serie A
2016-04-15 20:30:00,3,"1. Bundesliga, La Liga, Ligue 1"
2016-04-29 20:30:00,3,"1. Bundesliga, La Liga, Ligue 1"
2016-05-14 17:00:00,3,"La Liga, Serie A"
2016-05-14 20:45:00,3,Serie A
2016-05-15 18:00:00,3,Serie A
2016-05-15 19:30:00,3,La Liga
2016-05-15 20:45:00,3,Serie A
2018-10-14 15:00:00,3,FA Women's Super League
2018-11-18 15:00:00,3,FA Women's Super League
2018-12-02 15:00:00,3,FA Women's Super League
2019-01-06 15:00:00,3,FA Women's Super League
2019-02-20 20:30:00,3,FA Women's Super League
2019-03-31 15:00:00,3,FA Women's Super League
2019-04-28 15:00:00,3,FA Women's Super League
2019-11-17 15:00:00,3,FA Women's Super League
2020-01-05 15:00:00,3,FA Women's Super League
2020-01-12 15:00:00,3,FA Women's Super League
2020-02-23 15:00:00,3,FA Women's Super League
2020-09-06 15:00:00,3,FA Women's Super League
2020-09-13 15:00:00,3,FA Women's Super League
2020-12-06 15:00:00,3,FA Women's Super League
2020-12-13 15:00:00,3,FA Women's Super League
2021-02-28 15:00:00,3,FA Women's Super League
2021-03-07 15:00:00,3,FA Women's Super League
2021-03-17 20:30:00,3,FA Women's Super League
2021-04-04 15:00:00,3,FA Women's Super League
2015-08-09 14:30:00,2,Premier League
2015-08-14 20:30:00,2,"1. Bundesliga, Ligue 1"
2015-08-16 17:00:00,2,"Ligue 1, Premier League"
2015-08-30 17:00:00,2,"Ligue 1, Premier League"
2015-08-30 20:30:00,2,La Liga
2015-08-30 22:30:00,2,La Liga
2015-09-12 18:00:00,2,Serie A
2015-09-12 18:30:00,2,"1. Bundesliga, Premier League"
2015-09-13 17:00:00,2,"Ligue 1, Premier League"
2015-09-20 17:30:00,2,1. Bundesliga
2015-09-20 20:30:00,2,La Liga
2015-09-23 21:00:00,2,"La Liga, Ligue 1"
2015-09-23 22:00:00,2,La Liga
2015-09-26 18:30:00,2,"1. Bundesliga, Premier League"
2015-09-26 20:30:00,2,La Liga
2015-09-28 21:00:00,2,"Premier League, Serie A"
2015-10-04 17:30:00,2,1. Bundesliga
2015-10-04 18:00:00,2,Serie A
2015-10-04 20:45:00,2,Serie A
2015-10-16 20:30:00,2,"1. Bundesliga, Ligue 1"
2015-10-17 18:30:00,2,"1. Bundesliga, Premier League"
2015-10-18 17:00:00,2,"Ligue 1, Premier League"
2015-10-24 18:30:00,2,"1. Bundesliga, Premier League"
2015-10-25 15:05:00,2,Premier League
2015-10-25 17:00:00,2,Ligue 1
2015-10-25 18:00:00,2,Serie A
2015-10-31 19:15:00,2,La Liga
2015-11-01 17:00:00,2,"La Liga, Premier League"
2015-11-07 21:30:00,2,La Liga
2015-11-08 22:00:00,2,Ligue 1
2015-11-22 17:00:00,2,"La Liga, Premier League"
2015-11-29 13:00:00,2,"La Liga, Premier League"
2015-11-29 17:15:00,2,Premier League
2015-11-29 18:30:00,2,1. Bundesliga
2015-12-01 20:00:00,2,Ligue 1
2015-12-04 21:30:00,2,"1. Bundesliga, Ligue 1"
2015-12-06 17:00:00,2,"La Liga, Premier League"
2015-12-12 19:15:00,2,La Liga
2015-12-13 18:00:00,2,Ligue 1
2015-12-18 21:30:00,2,"1. Bundesliga, Ligue 1"
2015-12-20 17:00:00,2,"La Liga, Premier League"
2015-12-30 17:00:00,2,La Liga
2015-12-30 19:15:00,2,La Liga
2015-12-30 21:30:00,2,La Liga
2016-01-03 19:15:00,2,La Liga
2016-01-09 16:00:00,2,"La Liga, Serie A"
2016-01-09 19:15:00,2,La Liga
2016-01-10 19:15:00,2,La Liga
2016-01-13 21:00:00,2,Premier League
2016-01-17 19:15:00,2,La Liga
2016-01-24 17:00:00,2,"La Liga, Premier League"
2016-01-29 21:30:00,2,"1. Bundesliga, Ligue 1"
2016-01-30 19:15:00,2,La Liga
2016-02-03 20:45:00,2,Premier League
2016-02-05 21:30:00,2,"1. Bundesliga, La Liga"
2016-02-07 17:00:00,2,"La Liga, Premier League"
2016-02-14 13:00:00,2,"La Liga, Premier League"
2016-02-14 19:15:00,2,La Liga
2016-02-21 18:30:00,2,1. Bundesliga
2016-02-21 19:15:00,2,La Liga
2016-02-27 19:15:00,2,La Liga
2016-02-28 15:05:00,2,Premier League
2016-02-28 18:30:00,2,1. Bundesliga
2016-03-01 21:00:00,2,1. Bundesliga
2016-03-06 17:00:00,2,"La Liga, Premier League"
2016-03-06 19:15:00,2,La Liga
2016-03-09 19:30:00,2,Ligue 1
2016-03-12 16:00:00,2,Premier League
2016-03-13 17:00:00,2,"La Liga, Premier League"
2016-03-13 21:45:00,2,Serie A
2016-03-19 19:15:00,2,La Liga
2016-03-20 14:30:00,2,Premier League
2016-04-02 18:30:00,2,"1. Bundesliga, Premier League"
2016-04-03 17:00:00,2,"Ligue 1, Premier League"
2016-04-09 18:00:00,2,Serie A
2016-04-09 18:30:00,2,"1. Bundesliga, Premier League"
2016-04-10 17:00:00,2,"Ligue 1, Premier League"
2016-04-10 17:30:00,2,"1. Bundesliga, Premier League"
2016-04-16 18:30:00,2,"1. Bundesliga, Premier League"
2016-04-17 14:30:00,2,Premier League
2016-04-17 17:00:00,2,"Ligue 1, Premier League"
2016-04-17 18:15:00,2,La Liga
2016-04-19 20:45:00,2,"Premier League, Serie A"
2016-04-20 21:00:00,2,Premier League
2016-04-21 20:45:00,2,"Premier League, Serie A"
2016-04-22 20:30:00,2,"1. Bundesliga, Ligue 1"
2016-04-30 18:30:00,2,"1. Bundesliga, Premier League"
2016-05-02 21:00:00,2,"Premier League, Serie A"
2016-05-08 20:45:00,2,Serie A
2016-05-11 20:45:00,2,Premier League
2016-05-14 19:30:00,2,La Liga
2018-02-24 20:45:00,2,"FA Women's Super League, La Liga"
2018-06-25 16:00:00,2,FIFA World Cup
2018-06-25 20:00:00,2,FIFA World Cup
2018-06-26 16:00:00,2,FIFA World Cup
2018-06-26 20:00:00,2,FIFA World Cup
2018-06-27 16:00:00,2,FIFA World Cup
2018-06-27 20:00:00,2,FIFA World Cup
2018-06-28 16:00:00,2,FIFA World Cup
2018-06-28 20:00:00,2,FIFA World Cup
2018-07-01 04:00:00,2,NWSL
2018-07-15 01:00:00,2,NWSL
2018-09-19 20:45:00,2,FA Women's Super League
2018-09-30 15:00:00,2,FA Women's Super League
2018-10-21 15:00:00,2,FA Women's Super League
2018-10-21 16:00:00,2,FA Women's Super League
2018-10-28 15:00:00,2,FA Women's Super League
2018-11-04 15:00:00,2,FA Women's Super League
2018-11-04 16:00:00,2,FA Women's Super League
2018-11-25 15:00:00,2,FA Women's Super League
2018-11-25 16:00:00,2,FA Women's Super League
2018-12-09 15:00:00,2,FA Women's Super League
2019-01-13 15:00:00,2,FA Women's Super League
2019-01-13 16:00:00,2,FA Women's Super League
2019-01-27 15:00:00,2,FA Women's Super League
2019-03-13 20:45:00,2,FA Women's Super League
2019-06-17 18:00:00,2,Women's World Cup
2019-06-17 21:00:00,2,Women's World Cup
2019-06-18 21:00:00,2,Women's World Cup
2019-06-19 21:00:00,2,Women's World Cup
2019-06-20 18:00:00,2,Women's World Cup
2019-06-20 21:00:00,2,Women's World Cup
2019-09-07 16:00:00,2,FA Women's Super League
2019-09-08 15:00:00,2,FA Women's Super League
2019-09-15 13:30:00,2,FA Women's Super League
2019-09-15 15:00:00,2,FA Women's Super League
2019-09-29 13:30:00,2,FA Women's Super League
2019-10-13 15:00:00,2,FA Women's Super League
2019-10-27 13:30:00,2,FA Women's Super League
2019-10-27 16:00:00,2,FA Women's Super League
2019-11-17 16:00:00,2,FA Women's Super League
2019-11-24 13:30:00,2,FA Women's Super League
2019-12-08 13:00:00,2,FA Women's Super League
2019-12-08 15:00:00,2,FA Women's Super League
2019-12-15 13:30:00,2,FA Women's Super League
2019-12-15 15:00:00,2,FA Women's Super League
2020-01-19 13:00:00,2,FA Women's Super League
2020-01-19 15:00:00,2,FA Women's Super League
2020-01-19 16:00:00,2,FA Women's Super League
2020-02-12 20:00:00,2,FA Women's Super League
2020-02-12 20:30:00,2,FA Women's Super League
2020-10-18 15:00:00,2,FA Women's Super League
2020-11-08 15:00:00,2,FA Women's Super League
2021-01-17 15:00:00,2,FA Women's Super League
2021-02-07 15:00:00,2,FA Women's Super League
2021-02-10 20:00:00,2,FA Women's Super League
2021-04-25 15:00:00,2,FA Women's Super League
2021-05-02 15:00:00,2,FA Women's Super League
2021-06-20 18:00:00,2,UEFA Euro
2021-06-21 18:00:00,2,UEFA Euro
2021-06-21 21:00:00,2,UEFA Euro
2021-06-22 21:00:00,2,UEFA Euro
2021-06-23 18:00:00,2,UEFA Euro
2021-06-23 21:00:00,2,UEFA Euro
2022-07-15 21:00:00,2,UEFA Women's Euro
2022-07-16 21:00:00,2,UEFA Women's Euro
2022-07-17 18:00:00,2,UEFA Women's Euro
2022-07-18 21:00:00,2,UEFA Women's Euro
2022-11-29 17:00:00,2,FIFA World Cup
2022-11-29 21:00:00,2,FIFA World Cup
2022-11-30 17:00:00,2,FIFA World Cup
2022-11-30 21:00:00,2,FIFA World Cup
2022-12-01 17:00:00,2,FIFA World Cup
2022-12-01 21:00:00,2,FIFA World Cup
2022-12-02 17:00:00,2,FIFA World Cup
2022-12-02 21:00:00,2,FIFA World Cup
2023-07-30 10:00:00,2,Women's World Cup
2023-07-31 10:00:00,2,Women's World Cup
2023-07-31 13:00:00,2,Women's World Cup
2023-08-01 10:00:00,2,Women's World Cup
2023-08-01 14:00:00,2,Women's World Cup
2023-08-02 10:00:00,2,Women's World Cup
2023-08-02 13:00:00,2,Women's World Cup
2023-08-03 13:00:00,2,Women's World Cup
2024-01-22 19:00:00,2,African Cup of Nations
2024-01-22 22:00:00,2,African Cup of Nations
2024-01-23 19:00:00,2,African Cup of Nations
2024-01-23 22:00:00,2,African Cup of Nations
2024-01-24 19:00:00,2,African Cup of Nations
2024-01-24 22:00:00,2,African Cup of Nations
2003-08-16 16:00:00,1,Premier League
2003-08-24 17:05:00,1,Premier League
2003-08-27 20:45:00,1,Premier League
2003-08-31 17:05:00,1,Premier League
2003-09-13 16:00:00,1,Premier League
2003-09-21 17:05:00,1,Premier League
2003-09-26 21:00:00,1,Premier League
2003-10-04 13:30:00,1,Premier League
2003-10-18 16:00:00,1,Premier League
2003-10-26 15:00:00,1,Premier League
2003-11-01 16:00:00,1,Premier League
2003-11-08 16:00:00,1,Premier League
2003-11-22 16:00:00,1,Premier League
2003-11-30 15:00:00,1,Premier League
2003-12-06 16:00:00,1,Premier League
2003-12-14 15:00:00,1,Premier League
2003-12-20 16:00:00,1,Premier League
2003-12-26 13:00:00,1,Premier League
2003-12-29 21:00:00,1,Premier League
2004-01-07 21:00:00,1,Premier League
2004-01-10 16:00:00,1,Premier League
2004-01-18 15:00:00,1,Premier League
2004-02-01 17:05:00,1,Premier League
2004-02-07 16:00:00,1,Premier League
2004-02-10 20:45:00,1,Premier League
2004-02-21 13:30:00,1,Premier League
2004-02-28 16:00:00,1,Premier League
2004-03-13 16:00:00,1,Premier League
2004-03-20 16:00:00,1,Premier League
2004-03-28 17:05:00,1,Premier League
2004-04-09 13:30:00,1,Premier League
2004-04-11 17:05:00,1,Premier League
2004-04-16 21:00:00,1,Premier League
2004-04-25 17:05:00,1,Premier League
2004-05-01 13:30:00,1,Premier League
2004-05-04 21:00:00,1,Premier League
2004-05-09 17:05:00,1,Premier League
2004-05-15 16:00:00,1,Premier League
2004-10-16 22:00:00,1,La Liga
2004-10-24 21:00:00,1,La Liga
2004-12-04 20:00:00,1,La Liga
2004-12-11 20:00:00,1,La Liga
2004-12-21 20:00:00,1,La Liga
2005-04-17 21:00:00,1,La Liga
2005-05-01 19:00:00,1,La Liga
2005-10-01 20:00:00,1,La Liga
2005-10-22 22:00:00,1,La Liga
2005-10-26 20:30:00,1,La Liga
2005-11-06 21:00:00,1,La Liga
2005-11-19 20:00:00,1,La Liga
2005-11-27 21:00:00,1,La Liga
2005-12-04 19:00:00,1,La Liga
2005-12-11 21:00:00,1,La Liga
2005-12-17 22:00:00,1,La Liga
2005-12-20 21:00:00,1,La Liga
2006-01-07 22:00:00,1,La Liga
2006-01-15 19:00:00,1,La Liga
2006-01-22 19:00:00,1,La Liga
2006-01-29 19:00:00,1,La Liga
2006-02-05 19:00:00,1,La Liga
2006-02-18 22:00:00,1,La Liga
2006-02-25 22:00:00,1,La Liga
2006-08-28 21:00:00,1,La Liga
2006-09-09 20:00:00,1,La Liga
2006-09-17 20:00:00,1,La Liga
2006-09-24 21:00:00,1,La Liga
2006-09-30 22:00:00,1,La Liga
2006-10-15 19:00:00,1,La Liga
2006-10-22 21:00:00,1,La Liga
2006-11-04 22:00:00,1,La Liga
2006-11-12 21:00:00,1,La Liga
2007-02-11 19:00:00,1,La Liga
2007-02-18 19:00:00,1,La Liga
2007-02-25 21:00:00,1,La Liga
2007-03-03 22:00:00,1,La Liga
2007-03-10 22:00:00,1,La Liga
2007-03-17 20:00:00,1,La Liga
2007-03-31 22:00:00,1,La Liga
2007-04-07 20:00:00,1,La Liga
2007-04-15 19:00:00,1,La Liga
2007-04-22 21:00:00,1,La Liga
2007-04-29 19:00:00,1,La Liga
2007-05-05 20:00:00,1,La Liga
2007-05-13 19:00:00,1,La Liga
2007-05-20 21:00:00,1,La Liga
2007-05-23 20:45:00,1,Champions League
2007-05-26 22:00:00,1,La Liga
2007-06-09 21:00:00,1,La Liga
2007-06-17 21:00:00,1,La Liga
2007-08-26 19:00:00,1,La Liga
2007-09-02 19:00:00,1,La Liga
2007-09-22 22:00:00,1,La Liga
2007-09-26 22:00:00,1,La Liga
2007-09-29 22:00:00,1,La Liga
2007-10-07 17:00:00,1,La Liga
2007-10-20 20:00:00,1,La Liga
2007-10-28 19:00:00,1,La Liga
2007-11-01 22:00:00,1,La Liga
2007-11-04 19:00:00,1,La Liga
2007-11-10 20:00:00,1,La Liga
2007-11-24 20:00:00,1,La Liga
2007-12-01 22:00:00,1,La Liga
2007-12-09 21:00:00,1,La Liga
2007-12-15 22:00:00,1,La Liga
2008-01-20 21:00:00,1,La Liga
2008-01-27 19:00:00,1,La Liga
2008-02-03 19:00:00,1,La Liga
2008-02-09 22:00:00,1,La Liga
2008-02-16 22:00:00,1,La Liga
2008-02-24 19:00:00,1,La Liga
2008-03-01 20:00:00,1,La Liga
2008-04-12 22:00:00,1,La Liga
2008-04-19 20:00:00,1,La Liga
2008-05-04 19:00:00,1,La Liga
2008-05-07 22:00:00,1,La Liga
2008-05-11 21:00:00,1,La Liga
2008-05-17 22:00:00,1,La Liga
2008-08-31 19:00:00,1,La Liga
2008-09-13 20:00:00,1,La Liga
2008-09-21 21:00:00,1,La Liga
