tag,arm,rho,inversion,n_events,p_tail,estimator,traced_events
l75_base,base,0.75434,0.12763819095477386,2985,0.16806960647714417,exact counter,709819
l75_rt,rt,0.75312,0.0,2985,0.0162090602331485,exact counter,641308
