timestamp,backend,kafka_cpu_pct,kafka_mem_mib,redis_cpu_pct,redis_mem_mib
2026-06-12 19:26:29.540,redis,1.37,1116.16,2.41,131.3
2026-06-12 19:26:31.152,redis,1.64,1116.16,4.6,131.5
2026-06-12 19:26:33.134,redis,1.4,1116.16,0.99,131.2
2026-06-12 19:26:35.143,redis,1.55,1103.87,0.27,130.4
2026-06-12 19:26:37.156,redis,1.44,1103.87,0.25,130.4
2026-06-12 19:26:39.155,redis,1.36,1103.87,0.23,130.4
2026-06-12 19:26:41.172,redis,1.5,1103.87,0.25,130.4
2026-06-12 19:26:43.194,redis,1.32,1103.87,0.25,130.4
2026-06-12 19:26:45.197,redis,1.51,1103.87,0.24,130.4
2026-06-12 19:26:47.198,redis,1.54,1103.87,0.24,130.4
2026-06-12 19:26:49.212,redis,1.6,1103.87,0.25,130.4
2026-06-12 19:26:51.223,redis,1.48,1103.87,0.23,130.4
2026-06-12 19:26:53.235,redis,1.32,1103.87,0.26,130.4
2026-06-12 19:26:55.240,redis,1.54,1103.87,0.23,130.4
2026-06-12 19:26:57.262,redis,1.47,1103.87,0.24,130.4
2026-06-12 19:26:59.263,redis,1.41,1103.87,0.25,130.4
2026-06-12 19:27:01.278,redis,1.53,1103.87,0.25,130.4
2026-06-12 19:27:03.282,redis,1.5,1103.87,0.25,130.4
2026-06-12 19:27:05.298,redis,1.5,1103.87,0.21,130.4
